dim,dim_name,emergent,coef_mean,coef_std,sign_stability,logistic_rank,rf_perm_rank,rf_shap_rank,linshap_mean_abs,vif
GS,Gestalt and Shape Judgment,yes,-0.1809,0.0170,1.000,1,1,1,0.1538,1.283
MCu,Calibrating Knowns and Unknowns,no,0.1452,0.0175,1.000,2,4,3,0.1281,1.418
QLq,Quantitative Reasoning,no,-0.1151,0.0175,1.000,3,11,8,0.0894,1.591
VL,Visual Localization and Grounding,yes,0.1093,0.0258,1.000,4,5,4,0.0916,1.440
AS,Attention and Scan,no,0.0996,0.0213,1.000,5,3,5,0.0901,1.596
VO,Volume,no,0.0897,0.0163,1.000,6,8,11,0.0657,1.421
AT,Atypicality,no,0.0893,0.0163,1.000,7,7,7,0.0869,1.374
MCr,Identifying Relevant Information,no,0.0889,0.0198,1.000,8,6,6,0.0787,1.764
QLl,Logical Reasoning,no,-0.0711,0.0274,1.000,9,10,10,0.0426,1.691
MA,Multi-Element Visual Aggregation,yes,0.0667,0.0185,1.000,10,2,2,0.0566,1.448
CL,"Conceptualisation, Learning, and Abstraction",no,0.0089,0.0136,0.667,11,9,12,0.0092,1.389
KNf,Formal Sciences,no,-0.0035,0.0129,0.600,12,12,9,0.0083,1.229
