split,target,n_test,roc_auc,bal_acc,f1
0,GPT-4o,199,0.6228976697061804,0.57016210739615,0.6046511627906976
0,Claude-3-5-Sonnet,199,0.5466624816907302,0.505754341912534,0.4393063583815029
0,GPT-4o-Random,199,0.5796096558808423,0.5,0.9414893617021277
1,GPT-4o,201,0.6347099815535971,0.6172883787661406,0.6422018348623854
1,Claude-3-5-Sonnet,201,0.6599002849002849,0.5683760683760684,0.5544554455445545
1,GPT-4o-Random,201,0.6017000607164541,0.5,0.953125
2,GPT-4o,200,0.6605000504083073,0.5975904829115839,0.6048780487804878
2,Claude-3-5-Sonnet,200,0.6305263157894737,0.5824561403508772,0.5
2,GPT-4o-Random,200,0.5508474576271186,0.5,0.9389920424403183
3,GPT-4o,200,0.6536382744470023,0.6026423781403263,0.5698924731182796
3,Claude-3-5-Sonnet,200,0.6182720310646102,0.553985546327257,0.4117647058823529
3,GPT-4o-Random,200,0.5490033222591363,0.5,0.9247311827956989
4,GPT-4o,201,0.6945544554455445,0.6511881188118812,0.6067415730337079
4,Claude-3-5-Sonnet,201,0.6828131545873481,0.5935274403016338,0.49673202614379086
4,GPT-4o-Random,201,0.5749380677126341,0.5,0.9251336898395722
5,GPT-4o,200,0.6656162464985995,0.6202480992396959,0.62
5,Claude-3-5-Sonnet,200,0.6372966481056884,0.598482367070641,0.4897959183673469
5,GPT-4o-Random,200,0.5888534184623571,0.5,0.9445910290237467
6,GPT-4o,199,0.6516717325227964,0.609371833839919,0.6484018264840182
6,Claude-3-5-Sonnet,199,0.6217827997489014,0.5986084955011508,0.5128205128205128
6,GPT-4o-Random,199,0.6366959064327485,0.5,0.9498680738786279
7,GPT-4o,204,0.6223476080246912,0.5804398148148148,0.6470588235294118
7,Claude-3-5-Sonnet,204,0.6826923076923077,0.595945945945946,0.4496124031007752
7,GPT-4o-Random,204,0.5092610837438423,0.49714285714285716,0.9206349206349206
8,GPT-4o,200,0.6046511627906976,0.572827417380661,0.5943396226415094
8,Claude-3-5-Sonnet,200,0.6626724763979666,0.6292665214233841,0.5369127516778524
8,GPT-4o-Random,200,0.5392849496895739,0.5,0.9276139410187667
9,GPT-4o,198,0.6563756313782084,0.5913307906401402,0.6124401913875598
9,Claude-3-5-Sonnet,198,0.6316311612364244,0.5382205513784462,0.410958904109589
9,GPT-4o-Random,198,0.6325630252100841,0.5,0.9239130434782609
10,GPT-4o,201,0.6270630344004773,0.5895307218134818,0.5870646766169154
10,Claude-3-5-Sonnet,201,0.6071937321937323,0.5520451770451771,0.4246575342465753
10,GPT-4o-Random,201,0.5822690506598553,0.5,0.928
11,GPT-4o,200,0.6058238636363636,0.564935064935065,0.5482233502538071
11,Claude-3-5-Sonnet,200,0.6187828236021007,0.5838224693646381,0.5149700598802395
11,GPT-4o-Random,200,0.5490196078431372,0.5,0.9556135770234987
12,GPT-4o,202,0.6966754927919976,0.651564185544768,0.6875
12,Claude-3-5-Sonnet,202,0.7015992003998001,0.6563218390804597,0.6358974358974359
12,GPT-4o-Random,202,0.4623524623524623,0.5,0.9667519181585678
13,GPT-4o,198,0.656275720164609,0.6342592592592593,0.6635514018691588
13,Claude-3-5-Sonnet,198,0.6349576271186442,0.5960805084745763,0.4748201438848921
13,GPT-4o-Random,198,0.5415469348659003,0.5,0.9354838709677419
14,GPT-4o,204,0.6514392376461341,0.5876805187150015,0.652542372881356
14,Claude-3-5-Sonnet,204,0.6849882401063504,0.6209735146743021,0.5035971223021583
14,GPT-4o-Random,204,0.5443816489361702,0.4973404255319149,0.9565217391304348
15,GPT-4o,200,0.6507857071364228,0.6048443599239315,0.5185185185185185
15,Claude-3-5-Sonnet,200,0.6777007145859605,0.608974358974359,0.5743589743589743
15,GPT-4o-Random,200,0.5979315628192032,0.5,0.9417989417989417
16,GPT-4o,201,0.6530764635603344,0.6181302270011948,0.6280193236714976
16,Claude-3-5-Sonnet,201,0.6347680097680098,0.5975274725274725,0.5638297872340425
16,GPT-4o-Random,201,0.5174033149171271,0.5,0.9476439790575916
17,GPT-4o,198,0.6694524200164069,0.6235643970467597,0.5913978494623656
17,Claude-3-5-Sonnet,198,0.6950324433570898,0.6609935113285821,0.6024096385542169
17,GPT-4o-Random,198,0.5271604938271605,0.5,0.9523809523809523
18,GPT-4o,198,0.5888605007664793,0.5580991313234542,0.5728155339805825
18,Claude-3-5-Sonnet,198,0.5179178082191781,0.5260821917808218,0.3795620437956204
18,GPT-4o-Random,198,0.5445457218465157,0.5,0.9496021220159151
19,GPT-4o,200,0.649908685064935,0.6124188311688312,0.6484018264840182
19,Claude-3-5-Sonnet,200,0.6354987212276215,0.5874680306905371,0.5031446540880503
19,GPT-4o-Random,200,0.4722222222222223,0.5,0.9473684210526315
20,GPT-4o,198,0.6425436358068797,0.6090129631519853,0.56
20,Claude-3-5-Sonnet,198,0.6752845528455285,0.6269918699186992,0.5394736842105263
20,GPT-4o-Random,198,0.5958184257602862,0.5,0.9297297297297298
21,GPT-4o,198,0.7457122316935401,0.6542569579952757,0.5988700564971752
21,Claude-3-5-Sonnet,198,0.6891177739430543,0.6139991371872304,0.5290322580645161
21,GPT-4o-Random,198,0.5714982125446864,0.5,0.9551451187335093
22,GPT-4o,198,0.6236098357310479,0.5757575757575757,0.5882352941176471
22,Claude-3-5-Sonnet,198,0.5701369863013699,0.5591232876712329,0.47560975609756095
22,GPT-4o-Random,198,0.5416054101734784,0.5,0.9496021220159151
23,GPT-4o,200,0.6775060876623378,0.6335227272727273,0.6268656716417911
23,Claude-3-5-Sonnet,200,0.6592775041050902,0.5845648604269293,0.5061728395061729
23,GPT-4o-Random,200,0.5474974463738509,0.5,0.9417989417989417
24,GPT-4o,199,0.6376518218623481,0.5863866396761133,0.5608465608465608
24,Claude-3-5-Sonnet,199,0.6957790749887741,0.6144476874719353,0.5189873417721519
24,GPT-4o-Random,199,0.4510344827586206,0.5,0.9329758713136729
25,GPT-4o,199,0.599906191369606,0.5698353137377528,0.5876777251184834
25,Claude-3-5-Sonnet,199,0.625307881773399,0.6017036124794746,0.5189873417721519
25,GPT-4o-Random,199,0.5600459482038429,0.5,0.9243243243243243
26,GPT-4o,205,0.6209539223153084,0.5744478293983244,0.5347593582887701
26,Claude-3-5-Sonnet,205,0.63484463552863,0.6042603087746726,0.4897959183673469
26,GPT-4o-Random,205,0.6060606060606061,0.5,0.9432989690721649
27,GPT-4o,202,0.6303000491883914,0.5820954254795868,0.5531914893617021
27,Claude-3-5-Sonnet,202,0.635218253968254,0.6216269841269841,0.5542168674698795
27,GPT-4o-Random,202,0.596774193548387,0.5,0.9587628865979382
28,GPT-4o,200,0.6749286005711954,0.6472868217054264,0.6846846846846847
28,Claude-3-5-Sonnet,200,0.7116483068135455,0.6617707058343534,0.6304347826086957
28,GPT-4o-Random,200,0.6335546475995915,0.5,0.9417989417989417
29,GPT-4o,197,0.6750517598343686,0.643064182194617,0.6358974358974359
29,Claude-3-5-Sonnet,197,0.6810884070058382,0.6252606338615513,0.527027027027027
29,GPT-4o-Random,197,0.4753873063468266,0.5,0.9380053908355795
30,GPT-4o,203,0.7229044834307993,0.6330896686159844,0.712
30,Claude-3-5-Sonnet,203,0.6831006979062811,0.6008973080757727,0.4714285714285714
30,GPT-4o-Random,203,0.6211711711711713,0.5,0.9536082474226805
31,GPT-4o,203,0.676001955034213,0.6105083088954056,0.696
31,Claude-3-5-Sonnet,203,0.5919678714859438,0.563152610441767,0.4503311258278146
31,GPT-4o-Random,203,0.5381087919038583,0.5,0.9562982005141388
32,GPT-4o,199,0.6399838285829795,0.605013139276329,0.5465116279069767
32,Claude-3-5-Sonnet,199,0.5983074302746434,0.5438577815626996,0.42953020134228187
32,GPT-4o-Random,199,0.5146198830409356,0.5,0.9498680738786279
33,GPT-4o,203,0.7171091157524888,0.6554753074370485,0.6698113207547169
33,Claude-3-5-Sonnet,203,0.6358207431604737,0.5768170681910985,0.5340314136125655
33,GPT-4o-Random,203,0.4824255121042831,0.5,0.93717277486911
34,GPT-4o,199,0.6161060142711519,0.6203873598369012,0.6310679611650486
34,Claude-3-5-Sonnet,199,0.6577690070627338,0.6186123805567096,0.49635036496350365
34,GPT-4o-Random,199,0.5779761904761905,0.5,0.9358288770053476
35,GPT-4o,205,0.6386502481863305,0.6138793432607865,0.5918367346938775
35,Claude-3-5-Sonnet,205,0.6188387635756056,0.5646407685881369,0.4662576687116564
35,GPT-4o-Random,205,0.5773684210526315,0.5,0.9620253164556962
36,GPT-4o,200,0.6836152537283555,0.6156540886798119,0.6666666666666666
36,Claude-3-5-Sonnet,200,0.6023017902813299,0.559846547314578,0.4785276073619632
36,GPT-4o-Random,200,0.6387865389339229,0.5,0.9389920424403183
37,GPT-4o,198,0.6631111564764725,0.6306522404817801,0.6473429951690821
37,Claude-3-5-Sonnet,198,0.6500653879686138,0.615954664341761,0.5497076023391813
37,GPT-4o-Random,198,0.5051116491794458,0.5,0.944
38,GPT-4o,198,0.618775720164609,0.5907407407407407,0.5561497326203209
38,Claude-3-5-Sonnet,198,0.7023295944779983,0.6344909404659189,0.5466666666666666
38,GPT-4o-Random,198,0.6001404494382022,0.5,0.9468085106382979
39,GPT-4o,202,0.6330545991146089,0.6049680275454992,0.5714285714285714
39,Claude-3-5-Sonnet,202,0.6309966914805624,0.5738213399503722,0.5217391304347826
39,GPT-4o-Random,202,0.5814393939393939,0.5,0.9424083769633508
40,GPT-4o,200,0.6097879610089438,0.5699929655311025,0.5865384615384616
40,Claude-3-5-Sonnet,200,0.6206193116434774,0.6010565958782299,0.5380116959064327
40,GPT-4o-Random,200,0.5789473684210527,0.5,0.9501312335958005
41,GPT-4o,200,0.6352368526696106,0.6193295865114412,0.6010362694300518
41,Claude-3-5-Sonnet,200,0.5829228243021347,0.56876026272578,0.4563758389261745
41,GPT-4o-Random,200,0.6014829892410584,0.5,0.9501312335958005
42,GPT-4o,199,0.6452190827190827,0.5725327600327601,0.6875
42,Claude-3-5-Sonnet,199,0.5934782608695652,0.5520703933747413,0.5082872928176796
42,GPT-4o-Random,199,0.6853898096992019,0.5,0.9526315789473684
43,GPT-4o,198,0.6765216503267973,0.6084558823529411,0.6484018264840182
43,Claude-3-5-Sonnet,198,0.6474358974358975,0.5948717948717949,0.4748201438848921
43,GPT-4o-Random,198,0.6037126715092818,0.5,0.944
44,GPT-4o,203,0.6258813160987075,0.5873482177830004,0.5771144278606966
44,Claude-3-5-Sonnet,203,0.6970231100665883,0.6538386212299256,0.6101694915254238
44,GPT-4o-Random,203,0.5373283752860413,0.5,0.9509043927648578
45,GPT-4o,205,0.6166954685099846,0.5842453917050691,0.5583756345177665
45,Claude-3-5-Sonnet,205,0.6403274942878904,0.6232387661843107,0.5882352941176471
45,GPT-4o-Random,205,0.5906756756756757,0.5,0.9487179487179487
46,GPT-4o,200,0.6583770981361343,0.6126042632066728,0.6116504854368932
46,Claude-3-5-Sonnet,200,0.6365205565435714,0.593210586881473,0.5882352941176471
46,GPT-4o-Random,200,0.6177843281748956,0.5,0.9389920424403183
47,GPT-4o,197,0.6611801242236025,0.591304347826087,0.5029940119760479
47,Claude-3-5-Sonnet,197,0.654275298276624,0.5736301369863014,0.43609022556390975
47,GPT-4o-Random,197,0.575,0.5,0.9322493224932249
48,GPT-4o,199,0.6239886731391585,0.5783272653721683,0.6375545851528385
48,Claude-3-5-Sonnet,199,0.5970464135021096,0.5716772151898735,0.4774193548387097
48,GPT-4o-Random,199,0.7892886683209265,0.5,0.9662337662337662
49,GPT-4o,199,0.6801097114993904,0.6407964242177977,0.6120218579234973
49,Claude-3-5-Sonnet,199,0.683027027027027,0.6437837837837838,0.5562913907284768
49,GPT-4o-Random,199,0.6425977653631285,0.5,0.9470899470899471
50,GPT-4o,200,0.6445078031212484,0.5933373349339737,0.6301369863013698
50,Claude-3-5-Sonnet,200,0.6557194397283531,0.58276740237691,0.5060240963855421
50,GPT-4o-Random,200,0.5325472856791943,0.5,0.9389920424403183
51,GPT-4o,198,0.6090020576131687,0.5962962962962963,0.5888324873096447
51,Claude-3-5-Sonnet,198,0.6686621551275378,0.623269130661114,0.5106382978723404
51,GPT-4o-Random,198,0.47352601156069357,0.5,0.9326145552560647
52,GPT-4o,204,0.690242946708464,0.6381269592476488,0.6310679611650486
52,Claude-3-5-Sonnet,204,0.6580561330561331,0.5911642411642412,0.45112781954887216
52,GPT-4o-Random,204,0.6483216237314599,0.5,0.9457364341085271
53,GPT-4o,200,0.6859193095142513,0.6085909273384182,0.6320754716981132
53,Claude-3-5-Sonnet,200,0.6905854753161975,0.6094451244390044,0.56
53,GPT-4o-Random,200,0.5803405160947059,0.5,0.9445910290237467
54,GPT-4o,203,0.6519159696557091,0.604794787006419,0.5759162303664922
54,Claude-3-5-Sonnet,203,0.662895453593128,0.5959564215378169,0.4864864864864865
54,GPT-4o-Random,203,0.5701203558346415,0.5,0.9454545454545454
55,GPT-4o,200,0.6434290861775599,0.5708637773996597,0.6320346320346321
55,Claude-3-5-Sonnet,200,0.6630284926470589,0.5978860294117647,0.453125
55,GPT-4o-Random,200,0.6455965909090909,0.5,0.9361702127659575
56,GPT-4o,198,0.687244271685761,0.6486292962356792,0.6428571428571429
56,Claude-3-5-Sonnet,198,0.675477471773768,0.5949667616334283,0.5157232704402516
56,GPT-4o-Random,198,0.5900621118012422,0.5,0.9633507853403142
57,GPT-4o,201,0.6834653465346535,0.6619801980198019,0.6421052631578947
57,Claude-3-5-Sonnet,201,0.6598351883561644,0.6042380136986301,0.5538461538461539
57,GPT-4o-Random,201,0.6424603174603174,0.5,0.9448818897637795
58,GPT-4o,201,0.614794902429311,0.5839307048984468,0.5168539325842697
58,Claude-3-5-Sonnet,201,0.6182098765432099,0.5933641975308641,0.463768115942029
58,GPT-4o-Random,201,0.572840909090909,0.5,0.9336870026525199
59,GPT-4o,199,0.6251266464032421,0.6012158054711245,0.5876288659793815
59,Claude-3-5-Sonnet,199,0.6864406779661018,0.6032119690311781,0.5066666666666667
59,GPT-4o-Random,199,0.5463533641499743,0.5,0.9414893617021277
60,GPT-4o,197,0.6235561056105611,0.5715243399339934,0.5280898876404494
60,Claude-3-5-Sonnet,197,0.5559280544912728,0.5335249042145593,0.3076923076923077
60,GPT-4o-Random,197,0.5153488372093022,0.5,0.9322493224932249
61,GPT-4o,198,0.6359721082854798,0.6007998359310911,0.582010582010582
61,Claude-3-5-Sonnet,198,0.6474254742547425,0.631869918699187,0.5609756097560976
61,GPT-4o-Random,198,0.5474137931034482,0.5,0.9354838709677419
62,GPT-4o,200,0.6587861679604798,0.6167960479887085,0.6020408163265306
62,Claude-3-5-Sonnet,200,0.6566197470420236,0.5752753977968177,0.5909090909090909
62,GPT-4o-Random,200,0.5773529411764706,0.5,0.918918918918919
63,GPT-4o,200,0.6123737373737373,0.5888888888888888,0.616822429906542
63,Claude-3-5-Sonnet,200,0.6212168978562421,0.5865910046237915,0.5061728395061729
63,GPT-4o-Random,200,0.4768480066445184,0.5,0.9247311827956989
64,GPT-4o,201,0.6768244183734341,0.5985782461722012,0.5202312138728323
64,Claude-3-5-Sonnet,201,0.6182299232205851,0.5474164764473958,0.5395348837209303
64,GPT-4o-Random,201,0.6252762430939226,0.5,0.9476439790575916
65,GPT-4o,204,0.6474604578052854,0.5903330386089007,0.4943820224719101
65,Claude-3-5-Sonnet,204,0.6321442648797793,0.583957430035475,0.5871559633027523
65,GPT-4o-Random,204,0.6134334415584416,0.5,0.9263157894736842
66,GPT-4o,200,0.639248120300752,0.5609022556390978,0.6446280991735537
66,Claude-3-5-Sonnet,200,0.6377604166666665,0.5958333333333333,0.5742574257425742
66,GPT-4o-Random,200,0.5514615573569148,0.5,0.9389920424403183
67,GPT-4o,201,0.6045500505561172,0.5413549039433772,0.5779816513761468
67,Claude-3-5-Sonnet,201,0.6759297520661157,0.6201962809917356,0.5562130177514792
67,GPT-4o-Random,201,0.5037593984962405,0.5,0.9503916449086162
68,GPT-4o,201,0.6578345595545834,0.6256213959037582,0.6031746031746031
68,Claude-3-5-Sonnet,201,0.638941798941799,0.6026984126984127,0.5157232704402516
68,GPT-4o-Random,201,0.5772486772486772,0.5,0.9448818897637795
69,GPT-4o,200,0.644960305496935,0.6048135865742137,0.6220095693779905
69,Claude-3-5-Sonnet,200,0.6684276597970499,0.5858353384245214,0.56
69,GPT-4o-Random,200,0.527927927927928,0.5,0.961038961038961
70,GPT-4o,199,0.6365291262135923,0.6172633495145632,0.6
