target,kpi,point,boot_mean,boot_sd,ci_lo,ci_hi
GPT-4o,roc_auc,0.5533,0.5528,0.0443,0.4678,0.6392
GPT-4o,bal_acc,0.5258,0.5264,0.035,0.465,0.5957
GPT-4o,f1,0.6114,0.6101,0.0394,0.5395,0.6763
Claude-3-5-Sonnet,roc_auc,0.694,0.6931,0.0403,0.6116,0.761
Claude-3-5-Sonnet,bal_acc,0.6256,0.6262,0.037,0.5491,0.6906
Claude-3-5-Sonnet,f1,0.6022,0.6014,0.0478,0.501,0.6736
GPT-4o-Random,roc_auc,0.588,0.5789,0.053,0.4845,0.6756
GPT-4o-Random,bal_acc,0.5,0.5,0.0,0.5,0.5
GPT-4o-Random,f1,0.9252,0.926,0.0139,0.9008,0.9557
