target,model,feature,importance
acc_kimi_vl_a3b,kimi_vl_a3b,tda_gray_euler_mean,0.018531987443566322
acc_kimi_vl_a3b,kimi_vl_a3b,tda_gray_h0_betti_mean,0.015785103663802147
acc_kimi_vl_a3b,kimi_vl_a3b,nlp_tda_token_h0_total_persistence,0.015469608828425407
acc_kimi_vl_a3b,kimi_vl_a3b,tda_gray_h0_mean_persistence,0.014604934491217136
acc_kimi_vl_a3b,kimi_vl_a3b,tda_edge_mean,0.013972465880215168
acc_kimi_vl_a3b,kimi_vl_a3b,tda_gray_h0_betti_area,0.013967528007924557
acc_kimi_vl_a3b,kimi_vl_a3b,nlp_tda_token_h1_total_persistence,0.01392466202378273
acc_kimi_vl_a3b,kimi_vl_a3b,dim_GS,0.013901607133448124
acc_kimi_vl_a3b,kimi_vl_a3b,nlp_tda_token_h0_entropy,0.01302208099514246
acc_kimi_vl_a3b,kimi_vl_a3b,tda_edge_euler_std,0.012920011766254902
acc_kimi_vl_a3b,kimi_vl_a3b,nlp_cue_temporal_rate,0.012631688266992569
acc_kimi_vl_a3b,kimi_vl_a3b,nlp_claim_type_token_ratio,0.012267231941223145
acc_kimi_vl_a3b,kimi_vl_a3b,nlp_tda_token_h1_interval_count,0.012233633548021317
acc_kimi_vl_a3b,kimi_vl_a3b,tda_gray_h1_p90_persistence,0.011930806562304497
acc_kimi_vl_a3b,kimi_vl_a3b,nlp_cue_arithmetic_rate,0.01185282226651907
acc_kimi_vl_a3b,kimi_vl_a3b,nlp_claim_svd_11,0.011836173012852669
acc_kimi_vl_a3b,kimi_vl_a3b,tda_edge_h0_p95_persistence,0.011817852966487408
acc_kimi_vl_a3b,kimi_vl_a3b,nlp_claim_svd_06,0.011621071957051754
acc_kimi_vl_a3b,kimi_vl_a3b,tda_gray_mean,0.011610867455601692
acc_kimi_vl_a3b,kimi_vl_a3b,tda_gray_h0_max_persistence,0.011607279069721699
acc_kimi_vl_a3b,kimi_vl_a3b,nlp_claim_caption_token_jaccard,0.01160685159265995
acc_kimi_vl_a3b,kimi_vl_a3b,tda_edge_h0_mean_persistence,0.011598789133131504
acc_kimi_vl_a3b,kimi_vl_a3b,tda_gray_std,0.011529633775353432
acc_kimi_vl_a3b,kimi_vl_a3b,nlp_tda_token_h1_p95_persistence,0.011424717493355274
acc_kimi_vl_a3b,kimi_vl_a3b,tda_gray_h0_p95_persistence,0.011393244378268719
acc_kimi_vl_a3b,kimi_vl_a3b,nlp_tda_token_h0_mean_persistence,0.01134412083774805
acc_kimi_vl_a3b,kimi_vl_a3b,tda_gray_euler_area,0.011147942394018173
