model,dim,dim_name,emergent,shap_mean_abs,shap_mean_signed
COMBINATION_ALL,GS,Gestalt and Shape Judgment,yes,0.02990,-0.00017
COMBINATION_ALL,MA,Multi-Element Visual Aggregation,yes,0.02536,+0.00006
COMBINATION_ALL,MCu,Calibrating Knowns and Unknowns,no,0.02452,-0.00055
COMBINATION_ALL,VL,Visual Localization and Grounding,yes,0.02346,+0.00020
COMBINATION_ALL,AS,Attention and Scan,no,0.02158,+0.00015
COMBINATION_ALL,MCr,Identifying Relevant Information,no,0.01956,-0.00052
COMBINATION_ALL,AT,Atypicality,no,0.01582,-0.00010
COMBINATION_ALL,QLq,Quantitative Reasoning,no,0.01393,+0.00065
COMBINATION_ALL,KNf,Formal Sciences,no,0.01275,-0.00120
COMBINATION_ALL,QLl,Logical Reasoning,no,0.01242,-0.00077
COMBINATION_ALL,VO,Volume,no,0.01011,-0.00010
COMBINATION_ALL,CL,"Conceptualisation, Learning, and Abstraction",no,0.00706,+0.00001
Human,MCr,Identifying Relevant Information,no,0.02565,+0.00121
Human,KNf,Formal Sciences,no,0.01841,-0.00089
Human,MA,Multi-Element Visual Aggregation,yes,0.01470,+0.00047
Human,VL,Visual Localization and Grounding,yes,0.01462,+0.00040
Human,GS,Gestalt and Shape Judgment,yes,0.01127,-0.00057
Human,CL,"Conceptualisation, Learning, and Abstraction",no,0.01033,-0.00029
Human,AS,Attention and Scan,no,0.00920,+0.00068
Human,MCu,Calibrating Knowns and Unknowns,no,0.00862,-0.00013
Human,AT,Atypicality,no,0.00839,-0.00009
Human,QLq,Quantitative Reasoning,no,0.00798,+0.00061
Human,QLl,Logical Reasoning,no,0.00656,-0.00023
Human,VO,Volume,no,0.00584,+0.00010
Claude-3-5-Sonnet,MCu,Calibrating Knowns and Unknowns,no,0.03801,-0.00013
Claude-3-5-Sonnet,AS,Attention and Scan,no,0.03665,+0.00186
Claude-3-5-Sonnet,MA,Multi-Element Visual Aggregation,yes,0.02816,-0.00086
Claude-3-5-Sonnet,QLq,Quantitative Reasoning,no,0.02739,+0.00069
Claude-3-5-Sonnet,MCr,Identifying Relevant Information,no,0.02405,+0.00091
Claude-3-5-Sonnet,VL,Visual Localization and Grounding,yes,0.02237,-0.00000
Claude-3-5-Sonnet,GS,Gestalt and Shape Judgment,yes,0.01567,+0.00051
Claude-3-5-Sonnet,VO,Volume,no,0.01219,-0.00104
