candidate_id,kind,hidden_layer_sizes,hidden_layer_count,max_hidden_width,activation,alpha,optimizer,seed,input_dim,output_dim,parameter_count,complexity_score,complexity_order,complexity_label,train_top1_hit_rate,validation_top1_hit_rate,top1_hit_rate_gap,train_mean_regret,validation_mean_regret,mean_regret_gap,fit_seconds
mlp_layers=16_act=relu_alpha=0.01,torch_mlp,"(16,)",1,16,relu,0.01,torch_lbfgs,215,111,3,1843,1843.0,11,torch mlp 16 relu a=0.01,0.915493,0.414634,0.500859,0.019014,0.313821,0.294807,0.132046
mlp_layers=16_act=relu_alpha=0.1,torch_mlp,"(16,)",1,16,relu,0.1,torch_lbfgs,215,111,3,1843,1843.0,12,torch mlp 16 relu a=0.1,0.927817,0.495935,0.431882,0.019014,0.227642,0.208628,0.13292
mlp_layers=16_act=tanh_alpha=0.0001,torch_mlp,"(16,)",1,16,tanh,0.0001,torch_lbfgs,215,111,3,1843,1843.0,13,torch mlp 16 tanh a=0.0001,0.964789,0.471545,0.493244,0.007394,0.260163,0.252769,0.141377
mlp_layers=16_act=tanh_alpha=0.001,torch_mlp,"(16,)",1,16,tanh,0.001,torch_lbfgs,215,111,3,1843,1843.0,14,torch mlp 16 tanh a=0.001,0.963028,0.487805,0.475223,0.008451,0.263415,0.254964,0.142003
mlp_layers=16_act=tanh_alpha=0.01,torch_mlp,"(16,)",1,16,tanh,0.01,torch_lbfgs,215,111,3,1843,1843.0,15,torch mlp 16 tanh a=0.01,0.959507,0.439024,0.520483,0.009507,0.291057,0.28155,0.14116
mlp_layers=16_act=tanh_alpha=0.1,torch_mlp,"(16,)",1,16,tanh,0.1,torch_lbfgs,215,111,3,1843,1843.0,16,torch mlp 16 tanh a=0.1,0.96831,0.406504,0.561806,0.007394,0.323577,0.316183,0.14059
mlp_layers=32_act=relu_alpha=0.0001,torch_mlp,"(32,)",1,32,relu,0.0001,torch_lbfgs,215,111,3,3683,3683.0,17,torch mlp 32 relu a=0.0001,1.0,0.422764,0.577236,0.0,0.299187,0.299187,0.18813
mlp_layers=32_act=relu_alpha=0.001,torch_mlp,"(32,)",1,32,relu,0.001,torch_lbfgs,215,111,3,3683,3683.0,18,torch mlp 32 relu a=0.001,1.0,0.422764,0.577236,0.0,0.295935,0.295935,0.219196
mlp_layers=32_act=relu_alpha=0.01,torch_mlp,"(32,)",1,32,relu,0.01,torch_lbfgs,215,111,3,3683,3683.0,19,torch mlp 32 relu a=0.01,0.998239,0.430894,0.567345,0.000352,0.292683,0.292331,0.191946
mlp_layers=32_act=relu_alpha=0.1,torch_mlp,"(32,)",1,32,relu,0.1,torch_lbfgs,215,111,3,3683,3683.0,20,torch mlp 32 relu a=0.1,1.0,0.495935,0.504065,0.0,0.253659,0.253659,0.187902
mlp_layers=32_act=tanh_alpha=0.0001,torch_mlp,"(32,)",1,32,tanh,0.0001,torch_lbfgs,215,111,3,3683,3683.0,21,torch mlp 32 tanh a=0.0001,1.0,0.463415,0.536585,0.0,0.279675,0.279675,0.201164
mlp_layers=32_act=tanh_alpha=0.001,torch_mlp,"(32,)",1,32,tanh,0.001,torch_lbfgs,215,111,3,3683,3683.0,22,torch mlp 32 tanh a=0.001,1.0,0.487805,0.512195,0.0,0.268293,0.268293,0.201682
mlp_layers=32_act=tanh_alpha=0.01,torch_mlp,"(32,)",1,32,tanh,0.01,torch_lbfgs,215,111,3,3683,3683.0,23,torch mlp 32 tanh a=0.01,1.0,0.439024,0.560976,0.0,0.313821,0.313821,0.20111
mlp_layers=32_act=tanh_alpha=0.1,torch_mlp,"(32,)",1,32,tanh,0.1,torch_lbfgs,215,111,3,3683,3683.0,24,torch mlp 32 tanh a=0.1,1.0,0.422764,0.577236,0.0,0.307317,0.307317,0.199912
mlp_layers=64_act=relu_alpha=0.0001,torch_mlp,"(64,)",1,64,relu,0.0001,torch_lbfgs,215,111,3,7363,7363.0,25,torch mlp 64 relu a=0.0001,1.0,0.479675,0.520325,0.0,0.271545,0.271545,0.162824
mlp_layers=64_act=relu_alpha=0.001,torch_mlp,"(64,)",1,64,relu,0.001,torch_lbfgs,215,111,3,7363,7363.0,26,torch mlp 64 relu a=0.001,1.0,0.495935,0.504065,0.0,0.260163,0.260163,0.143877
mlp_layers=64_act=relu_alpha=0.01,torch_mlp,"(64,)",1,64,relu,0.01,torch_lbfgs,215,111,3,7363,7363.0,27,torch mlp 64 relu a=0.01,1.0,0.552846,0.447154,0.0,0.22439,0.22439,0.263531
mlp_layers=64_act=relu_alpha=0.1,torch_mlp,"(64,)",1,64,relu,0.1,torch_lbfgs,215,111,3,7363,7363.0,28,torch mlp 64 relu a=0.1,1.0,0.479675,0.520325,0.0,0.279675,0.279675,0.260601
mlp_layers=64_act=tanh_alpha=0.0001,torch_mlp,"(64,)",1,64,tanh,0.0001,torch_lbfgs,215,111,3,7363,7363.0,29,torch mlp 64 tanh a=0.0001,1.0,0.471545,0.528455,0.0,0.292683,0.292683,0.177257
mlp_layers=64_act=tanh_alpha=0.001,torch_mlp,"(64,)",1,64,tanh,0.001,torch_lbfgs,215,111,3,7363,7363.0,30,torch mlp 64 tanh a=0.001,1.0,0.471545,0.528455,0.0,0.292683,0.292683,0.195147
mlp_layers=64_act=tanh_alpha=0.01,torch_mlp,"(64,)",1,64,tanh,0.01,torch_lbfgs,215,111,3,7363,7363.0,31,torch mlp 64 tanh a=0.01,1.0,0.463415,0.536585,0.0,0.307317,0.307317,0.273319
mlp_layers=64_act=tanh_alpha=0.1,torch_mlp,"(64,)",1,64,tanh,0.1,torch_lbfgs,215,111,3,7363,7363.0,32,torch mlp 64 tanh a=0.1,1.0,0.479675,0.520325,0.0,0.289431,0.289431,0.261633
mlp_layers=8x8_act=relu_alpha=0.0001,torch_mlp,"(8, 8)",2,8,relu,0.0001,torch_lbfgs,215,111,3,995,995.0,33,torch mlp 8x8 relu a=0.0001,0.794014,0.439024,0.35499,0.07007,0.304065,0.233995,0.139538
mlp_layers=8x8_act=relu_alpha=0.001,torch_mlp,"(8, 8)",2,8,relu,0.001,torch_lbfgs,215,111,3,995,995.0,34,torch mlp 8x8 relu a=0.001,0.788732,0.455285,0.333447,0.068662,0.265041,0.196379,0.138657
mlp_layers=8x8_act=relu_alpha=0.01,torch_mlp,"(8, 8)",2,8,relu,0.01,torch_lbfgs,215,111,3,995,995.0,35,torch mlp 8x8 relu a=0.01,0.772887,0.414634,0.358253,0.078169,0.278049,0.19988,0.138199
mlp_layers=8x8_act=relu_alpha=0.1,torch_mlp,"(8, 8)",2,8,relu,0.1,torch_lbfgs,215,111,3,995,995.0,36,torch mlp 8x8 relu a=0.1,0.776408,0.398374,0.378034,0.077817,0.333333,0.255516,0.139099
