replicate,rows,unique_groups,top1_hit_rate,mean_regret,median_regret
1,123,55,0.3821138211382114,0.3252032520325203,0.2
2,114,59,0.4473684210526316,0.2631578947368421,0.2
3,120,56,0.36666666666666664,0.31833333333333336,0.2
4,128,56,0.3515625,0.35468750000000004,0.4
5,116,54,0.3706896551724138,0.37413793103448273,0.4
6,116,54,0.33620689655172414,0.3327586206896552,0.2
7,122,54,0.39344262295081966,0.3049180327868853,0.2
8,116,59,0.3879310344827586,0.31034482758620696,0.2
9,111,58,0.3153153153153153,0.33873873873873883,0.2
10,114,65,0.3684210526315789,0.31052631578947365,0.2
11,122,51,0.3524590163934426,0.359016393442623,0.4
12,123,54,0.34959349593495936,0.3577235772357724,0.2
13,108,55,0.39814814814814814,0.30925925925925923,0.2
14,114,55,0.40350877192982454,0.30877192982456136,0.2
15,116,56,0.3706896551724138,0.32241379310344825,0.2
16,120,54,0.45,0.285,0.2
17,122,62,0.4262295081967213,0.27049180327868855,0.2
18,126,56,0.36507936507936506,0.3222222222222223,0.2
19,117,55,0.4444444444444444,0.2564102564102564,0.2
20,125,60,0.416,0.2768,0.2
21,125,50,0.352,0.3103999999999999,0.2
22,125,60,0.48,0.2672,0.2
23,126,58,0.3412698412698413,0.32222222222222235,0.2
24,116,56,0.3879310344827586,0.29310344827586204,0.2
25,120,53,0.375,0.3083333333333334,0.2
26,129,57,0.3798449612403101,0.33643410852713185,0.2
27,125,55,0.312,0.368,0.4
28,112,54,0.45535714285714285,0.225,0.2
29,123,55,0.2682926829268293,0.3544715447154472,0.2
30,123,59,0.37398373983739835,0.33495934959349594,0.4
31,123,59,0.3333333333333333,0.35772357723577236,0.4
32,119,58,0.3949579831932773,0.3361344537815127,0.2
33,120,56,0.39166666666666666,0.31666666666666665,0.2
34,122,61,0.319672131147541,0.3704918032786886,0.4
35,123,56,0.3170731707317073,0.334959349593496,0.2
36,112,57,0.4107142857142857,0.3160714285714286,0.2
37,115,59,0.33043478260869563,0.3460869565217391,0.2
38,113,57,0.36283185840707965,0.36637168141592924,0.4
39,118,58,0.3813559322033898,0.32033898305084757,0.2
40,119,59,0.3445378151260504,0.31428571428571433,0.2
41,120,52,0.425,0.2983333333333333,0.2
42,116,61,0.4051724137931034,0.296551724137931,0.2
43,121,53,0.5371900826446281,0.2462809917355372,0.0
44,126,53,0.30952380952380953,0.33333333333333337,0.2
45,121,59,0.34710743801652894,0.32561983471074385,0.2
46,119,61,0.37815126050420167,0.3193277310924371,0.2
47,116,60,0.39655172413793105,0.2827586206896552,0.2
48,118,58,0.2966101694915254,0.37118644067796613,0.2
49,120,53,0.36666666666666664,0.29000000000000004,0.2
50,121,54,0.34710743801652894,0.3057851239669422,0.2
51,121,55,0.33884297520661155,0.30247933884297523,0.2
52,128,55,0.34375,0.33125000000000004,0.2
53,115,56,0.40869565217391307,0.3043478260869566,0.2
54,121,58,0.3140495867768595,0.3735537190082645,0.4
55,120,65,0.3333333333333333,0.3550000000000001,0.4
56,116,56,0.35344827586206895,0.32758620689655177,0.2
57,121,55,0.371900826446281,0.31900826446280994,0.2
58,123,65,0.36585365853658536,0.2845528455284553,0.2
59,119,59,0.33613445378151263,0.3109243697478992,0.2
60,121,59,0.3884297520661157,0.29752066115702486,0.2
61,118,58,0.3983050847457627,0.30508474576271194,0.2
62,128,61,0.34375,0.38125,0.4
63,124,62,0.3548387096774194,0.33709677419354844,0.2
64,123,61,0.35772357723577236,0.3121951219512196,0.2
65,126,55,0.2698412698412698,0.36666666666666664,0.30000000000000004
66,112,54,0.38392857142857145,0.3017857142857143,0.2
67,123,53,0.3983739837398374,0.3235772357723577,0.2
68,127,53,0.4251968503937008,0.2755905511811025,0.2
69,123,55,0.3008130081300813,0.3707317073170732,0.2
70,120,53,0.35833333333333334,0.31,0.2
71,124,60,0.3790322580645161,0.2935483870967742,0.2
72,116,63,0.3103448275862069,0.31379310344827593,0.2
73,115,53,0.3565217391304348,0.3147826086956521,0.2
