target,model,feature,coefficient,abs_coefficient
acc_kimi_vl_a3b,kimi_vl_a3b,dim_QLl,-0.032590339484997774,0.032590339484997774
acc_kimi_vl_a3b,kimi_vl_a3b,nlp_tda_token_distance_max,-0.031729441062347416,0.031729441062347416
acc_kimi_vl_a3b,kimi_vl_a3b,nlp_claim_svd_06,0.03134187002227903,0.03134187002227903
acc_kimi_vl_a3b,kimi_vl_a3b,context_char_count,-0.030781580254389783,0.030781580254389783
acc_kimi_vl_a3b,kimi_vl_a3b,nlp_claim_caption_percent_overlap_count,0.030276416312230863,0.030276416312230863
acc_kimi_vl_a3b,kimi_vl_a3b,image_height,0.027182570901045016,0.027182570901045016
acc_kimi_vl_a3b,kimi_vl_a3b,tda_edge_mean,-0.027048220490075794,0.027048220490075794
acc_kimi_vl_a3b,kimi_vl_a3b,dim_MCu,0.025535127715190484,0.025535127715190484
acc_kimi_vl_a3b,kimi_vl_a3b,tda_edge_h0_total_persistence,-0.02537098123656156,0.02537098123656156
acc_kimi_vl_a3b,kimi_vl_a3b,tda_edge_h0_mean_persistence,0.02533139062494755,0.02533139062494755
acc_kimi_vl_a3b,kimi_vl_a3b,nlp_claim_svd_05,-0.022726320764427436,0.022726320764427436
acc_kimi_vl_a3b,kimi_vl_a3b,nlp_cue_temporal_rate,0.021910496022339594,0.021910496022339594
acc_kimi_vl_a3b,kimi_vl_a3b,dim_GS,0.021337577777531806,0.021337577777531806
acc_kimi_vl_a3b,kimi_vl_a3b,caption_percent_count,-0.019668578991321434,0.019668578991321434
acc_kimi_vl_a3b,kimi_vl_a3b,tda_edge_h1_std_persistence,-0.019396534963133205,0.019396534963133205
acc_kimi_vl_a3b,kimi_vl_a3b,tda_gray_std,0.018970463623246687,0.018970463623246687
acc_kimi_vl_a3b,kimi_vl_a3b,caption_word_count,-0.017229976942881232,0.017229976942881232
acc_kimi_vl_a3b,kimi_vl_a3b,nlp_tda_token_h0_p95_persistence,0.0168674180398869,0.0168674180398869
acc_kimi_vl_a3b,kimi_vl_a3b,nlp_tda_token_distance_std,0.016793604450685572,0.016793604450685572
acc_kimi_vl_a3b,kimi_vl_a3b,tda_edge_h1_betti_argmax_threshold,-0.016753315047323022,0.016753315047323022
acc_kimi_vl_a3b,kimi_vl_a3b,nlp_claim_svd_09,0.016683431454198667,0.016683431454198667
acc_kimi_vl_a3b,kimi_vl_a3b,nlp_claim_caption_content_jaccard,-0.016024301307221805,0.016024301307221805
acc_kimi_vl_a3b,kimi_vl_a3b,tda_gray_h0_std_persistence,-0.01592791009729591,0.01592791009729591
acc_kimi_vl_a3b,kimi_vl_a3b,nlp_tda_token_h0_mean_persistence,-0.01567842200964153,0.01567842200964153
acc_kimi_vl_a3b,kimi_vl_a3b,caption_math_symbol_count,0.015319579793902336,0.015319579793902336
acc_kimi_vl_a3b,kimi_vl_a3b,nlp_claim_svd_15,-0.01489396295656106,0.01489396295656106
acc_kimi_vl_a3b,kimi_vl_a3b,nlp_tda_token_h1_interval_count,0.014828292879229318,0.014828292879229318
acc_kimi_vl_a3b,kimi_vl_a3b,nlp_claim_unique_token_count,0.014495135024811248,0.014495135024811248
acc_kimi_vl_a3b,kimi_vl_a3b,nlp_claim_svd_12,-0.014346408623131765,0.014346408623131765
acc_kimi_vl_a3b,kimi_vl_a3b,tda_edge_h0_p90_persistence,0.013197164723017664,0.013197164723017664
acc_kimi_vl_a3b,kimi_vl_a3b,nlp_tda_token_h0_p90_persistence,0.01307926019288347,0.01307926019288347
acc_kimi_vl_a3b,kimi_vl_a3b,claim_char_count,0.012901141965628849,0.012901141965628849
