run_label,model_family,feature_set,selection_policy,torch_dtype,effective_device,requested_device,mps_available,training_seconds,runtime_fallback_reason,model_dir,rows,test_rows,selected_candidate_id,test_top1_hit_rate,test_mean_regret,test_median_regret,top1_p025,top1_p975,mean_regret_p025,mean_regret_p975
xgboost_chart_tda_regret_first,xgboost,base_tda,regret_first,,,,,,,Data/derived/model_router/public_router/runs/regret_first/xgboost_chart_tda,811,120,xgb_n=200_depth=3_lr=0.05_sub=1.0_col=1.0_l2=5.0_l1=0.0,0.491667,0.243333,0.2,0.40495375836284925,0.5840694214876032,0.19333193277310926,0.29655318527177094
ridge_elasticnet_base_regret_first,ridge_elasticnet,base,regret_first,,,,,,,Data/derived/model_router/public_router/runs/regret_first/ridge_elasticnet_base,811,120,ridge_alpha=0.1,0.466667,0.256667,0.2,0.37389061421670117,0.5690270935960591,0.2,0.317649430740038
xgboost_claim_nlp_regret_first,xgboost,base_nlp,regret_first,,,,,,,Data/derived/model_router/public_router/runs/regret_first/xgboost_claim_nlp,811,120,xgb_n=50_depth=3_lr=0.1_sub=0.8_col=0.8_l2=10.0_l1=0.1,0.45,0.265,0.2,0.36288576327152655,0.5378480087687249,0.2131891721529626,0.3258467741935483
xgboost_base_regret_first,xgboost,base,regret_first,,,,,,,Data/derived/model_router/public_router/runs/regret_first/xgboost_base,811,120,xgb_n=50_depth=1_lr=0.05_sub=1.0_col=1.0_l2=10.0_l1=0.0,0.475,0.27,0.2,0.393125,0.5583513779527559,0.22000000000000006,0.32613536613536614
xgboost_chart_tda_claim_nlp_regret_first,xgboost,base_tda_nlp,regret_first,,,,,,,Data/derived/model_router/public_router/runs/regret_first/xgboost_chart_tda_claim_nlp,811,120,xgb_n=100_depth=2_lr=0.05_sub=0.8_col=0.8_l2=10.0_l1=0.0,0.45,0.28,0.2,0.367479674796748,0.5333474576271187,0.23025210084033618,0.33227094063431817
ridge_elasticnet_claim_nlp_regret_first,ridge_elasticnet,base_nlp,regret_first,,,,,,,Data/derived/model_router/public_router/runs/regret_first/ridge_elasticnet_claim_nlp,811,120,elasticnet_alpha=1.0_l1=0.1,0.408333,0.305,0.2,0.31530644818046394,0.5,0.24477756097560976,0.36837499999999995
torch_mlp_chart_tda_claim_nlp_regret_first,torch_mlp,base_tda_nlp,regret_first,float32,cpu,auto,False,149.24535,,Data/derived/model_router/public_router/runs/regret_first/torch_mlp_chart_tda_claim_nlp,811,120,mlp_layers=32x16_act=tanh_alpha=0.01,0.416667,0.316667,0.2,0.324780701754386,0.503880695783702,0.25832661290322584,0.3743697478991597
ridge_elasticnet_chart_tda_claim_nlp_regret_first,ridge_elasticnet,base_tda_nlp,regret_first,,,,,,,Data/derived/model_router/public_router/runs/regret_first/ridge_elasticnet_chart_tda_claim_nlp,811,120,elasticnet_alpha=0.01_l1=0.5,0.375,0.316667,0.2,0.288135593220339,0.4622156179544989,0.25882352941176473,0.375609756097561
torch_mlp_claim_nlp_regret_first,torch_mlp,base_nlp,regret_first,float32,cpu,auto,False,134.525945,,Data/derived/model_router/public_router/runs/regret_first/torch_mlp_claim_nlp,811,120,mlp_layers=32x16_act=relu_alpha=0.1,0.391667,0.32,0.2,0.30578512396694213,0.4758160522273426,0.2666666666666668,0.37167934782608697
ridge_elasticnet_chart_tda_regret_first,ridge_elasticnet,base_tda,regret_first,,,,,,,Data/derived/model_router/public_router/runs/regret_first/ridge_elasticnet_chart_tda,811,120,ridge_alpha=100.0,0.375,0.325,0.2,0.2868559718969555,0.46825933075933074,0.26450158646218935,0.3839263674614305
torch_mlp_base_regret_first,torch_mlp,base,regret_first,float32,cpu,auto,False,130.97476,,Data/derived/model_router/public_router/runs/regret_first/torch_mlp_base,811,120,mlp_layers=32x32_act=relu_alpha=0.001,0.358333,0.331667,0.2,0.27497983870967746,0.4444444444444444,0.2764227642276423,0.3860986481549142
torch_mlp_chart_tda_regret_first,torch_mlp,base_tda,regret_first,float32,cpu,auto,False,151.577999,,Data/derived/model_router/public_router/runs/regret_first/torch_mlp_chart_tda,811,120,mlp_layers=64_act=tanh_alpha=0.1,0.358333,0.355,0.3,0.275,0.4333695652173913,0.29682001614205,0.4130135053416649
