model,dim_code,dim_name,emergent,mean_correct,sem_correct,mean_incorrect,sem_incorrect,delta_inc_minus_corr,mannwhitney_p,n_correct,n_incorrect
ChartGemma,QLq,Quantitative Reasoning,no,1.250,0.049,1.257,0.022,+0.007,0.9378,104,696
ChartGemma,CL,"Conceptualisation, Learning, and Abstraction",no,0.125,0.033,0.208,0.017,+0.083,0.1016,104,696
GPT-4o-Random,VL,Visual Localization and Grounding,yes,2.148,0.077,2.296,0.024,+0.148,0.03771,81,719
GPT-4o-Random,AS,Attention and Scan,no,2.593,0.065,2.651,0.020,+0.058,0.4264,81,719
GPT-4o-Random,MCr,Identifying Relevant Information,no,1.494,0.068,1.661,0.026,+0.167,0.0525,81,719
GPT-4o-Random,MCu,Calibrating Knowns and Unknowns,no,0.667,0.068,0.670,0.024,+0.004,0.91,81,719
GPT-4o-Random,MA,Multi-Element Visual Aggregation,yes,2.296,0.158,2.410,0.051,+0.114,0.4104,81,719
GPT-4o-Random,VO,Volume,no,1.111,0.035,1.177,0.014,+0.066,0.137,81,719
GPT-4o-Random,AT,Atypicality,no,2.580,0.061,2.563,0.019,-0.017,0.6115,81,719
GPT-4o-Random,GS,Gestalt and Shape Judgment,yes,1.185,0.133,0.768,0.043,-0.417,0.0002862,81,719
GPT-4o-Random,QLl,Logical Reasoning,no,0.988,0.062,1.006,0.023,+0.018,0.9521,81,719
GPT-4o-Random,KNf,Formal Sciences,no,1.259,0.096,1.157,0.034,-0.102,0.1923,81,719
GPT-4o-Random,QLq,Quantitative Reasoning,no,1.222,0.061,1.260,0.021,+0.038,0.4158,81,719
GPT-4o-Random,CL,"Conceptualisation, Learning, and Abstraction",no,0.222,0.046,0.195,0.017,-0.028,0.3477,81,719
