candidate_id,kind,alpha,l1_ratio,seed,complexity_score,complexity_order,complexity_label,train_top1_hit_rate,validation_top1_hit_rate,top1_hit_rate_gap,train_mean_regret,validation_mean_regret,mean_regret_gap
ridge_alpha=100.0,ridge,100.0,,215,0.01,1,ridge a=100.0,0.637324,0.430894,0.20643,0.150352,0.302439,0.152087
ridge_alpha=10.0,ridge,10.0,,215,0.1,2,ridge a=10.0,0.644366,0.398374,0.245992,0.141901,0.315447,0.173546
ridge_alpha=1.0,ridge,1.0,,215,1.0,3,ridge a=1.0,0.661972,0.398374,0.263598,0.128521,0.305691,0.17717
ridge_alpha=0.1,ridge,0.1,,215,10.0,4,ridge a=0.1,0.665493,0.398374,0.267119,0.125704,0.302439,0.176735
ridge_alpha=0.01,ridge,0.01,,215,100.0,5,ridge a=0.01,0.670775,0.398374,0.272401,0.125,0.304065,0.179065
elasticnet_alpha=1.0_l1=0.1,elasticnet,1.0,0.1,215,1.1,6,enet a=1.0 l1=0.1,0.503521,0.487805,0.015716,0.257746,0.269919,0.012173
elasticnet_alpha=1.0_l1=0.5,elasticnet,1.0,0.5,215,1.5,7,enet a=1.0 l1=0.5,0.503521,0.487805,0.015716,0.257746,0.269919,0.012173
elasticnet_alpha=1.0_l1=0.9,elasticnet,1.0,0.9,215,1.9,8,enet a=1.0 l1=0.9,0.503521,0.487805,0.015716,0.257746,0.269919,0.012173
elasticnet_alpha=0.1_l1=0.1,elasticnet,0.1,0.1,215,10.1,9,enet a=0.1 l1=0.1,0.619718,0.422764,0.196954,0.164085,0.286179,0.122094
elasticnet_alpha=0.1_l1=0.5,elasticnet,0.1,0.5,215,10.5,10,enet a=0.1 l1=0.5,0.503521,0.487805,0.015716,0.257746,0.269919,0.012173
elasticnet_alpha=0.1_l1=0.9,elasticnet,0.1,0.9,215,10.9,11,enet a=0.1 l1=0.9,0.503521,0.487805,0.015716,0.257746,0.269919,0.012173
elasticnet_alpha=0.01_l1=0.1,elasticnet,0.01,0.1,215,100.1,12,enet a=0.01 l1=0.1,0.639085,0.414634,0.224451,0.145775,0.312195,0.16642
elasticnet_alpha=0.01_l1=0.5,elasticnet,0.01,0.5,215,100.5,13,enet a=0.01 l1=0.5,0.633803,0.447154,0.186649,0.151056,0.289431,0.138375
elasticnet_alpha=0.01_l1=0.9,elasticnet,0.01,0.9,215,100.9,14,enet a=0.01 l1=0.9,0.625,0.447154,0.177846,0.160563,0.274797,0.114234
elasticnet_alpha=0.001_l1=0.1,elasticnet,0.001,0.1,215,1000.1,15,enet a=0.001 l1=0.1,0.661972,0.390244,0.271728,0.130282,0.308943,0.178661
elasticnet_alpha=0.001_l1=0.5,elasticnet,0.001,0.5,215,1000.5,16,enet a=0.001 l1=0.5,0.647887,0.382114,0.265773,0.140493,0.313821,0.173328
elasticnet_alpha=0.001_l1=0.9,elasticnet,0.001,0.9,215,1000.9,17,enet a=0.001 l1=0.9,0.640845,0.390244,0.250601,0.144366,0.317073,0.172707
