model,dim_i,dim_j,tau_correct,tau_incorrect,delta,abs_delta
Cambrian-34B,VO,CL,0.0544,0.2692,-0.2148,0.2148
Cambrian-34B,MCu,QLq,0.4058,0.1931,+0.2127,0.2127
Cambrian-34B,VL,VO,0.1406,0.3277,-0.1871,0.1871
Cambrian-34B,QLl,CL,0.1457,0.3116,-0.1659,0.1659
Cambrian-34B,AS,AT,0.4038,0.2414,+0.1624,0.1624
Cambrian-34B,MA,GS,0.0949,-0.0508,+0.1457,0.1457
Cambrian-34B,VO,QLl,0.2527,0.3952,-0.1426,0.1426
Cambrian-34B,AS,MCu,0.4189,0.2808,+0.1381,0.1381
Cambrian-34B,MA,QLl,0.2132,0.3482,-0.1349,0.1349
Cambrian-34B,MCr,KNf,0.1838,0.0518,+0.1320,0.1320
Cambrian-34B,MCu,MA,0.2975,0.1684,+0.1290,0.1290
Cambrian-34B,AS,QLq,0.1907,0.0681,+0.1227,0.1227
Cambrian-34B,VL,CL,0.0446,0.1657,-0.1211,0.1211
Cambrian-34B,AT,QLq,0.3000,0.1797,+0.1203,0.1203
Cambrian-34B,VL,MCu,0.2634,0.1519,+0.1115,0.1115
Cambrian-34B,GS,CL,0.2888,0.3986,-0.1098,0.1098
Cambrian-34B,GS,QLl,-0.0422,0.0654,-0.1075,0.1075
Cambrian-34B,MCr,MA,0.3561,0.2514,+0.1046,0.1046
Cambrian-34B,AS,MA,0.4149,0.3169,+0.0980,0.0980
Cambrian-34B,VL,MCr,0.2750,0.3728,-0.0979,0.0979
Cambrian-34B,MA,VO,0.2337,0.3303,-0.0966,0.0966
Cambrian-34B,MCr,VO,0.2795,0.3738,-0.0943,0.0943
Cambrian-34B,AT,CL,0.1845,0.2756,-0.0912,0.0912
Cambrian-34B,VL,AT,0.1930,0.1113,+0.0816,0.0816
Cambrian-34B,MCr,CL,0.1705,0.2471,-0.0766,0.0766
Cambrian-34B,GS,KNf,0.1028,0.0268,+0.0760,0.0760
Cambrian-34B,QLq,CL,0.0535,0.1289,-0.0754,0.0754
Cambrian-34B,MA,AT,0.1818,0.1160,+0.0657,0.0657
Cambrian-34B,MCu,QLl,0.3018,0.2363,+0.0655,0.0655
Cambrian-34B,MCu,AT,0.4221,0.3569,+0.0652,0.0652
Cambrian-34B,MCr,QLq,0.2647,0.1998,+0.0649,0.0649
