candidate_id,kind,n_estimators,max_depth,learning_rate,subsample,colsample_bytree,reg_lambda,reg_alpha,seed,complexity_score,complexity_order,complexity_label,train_top1_hit_rate,validation_top1_hit_rate,top1_hit_rate_gap,train_mean_regret,validation_mean_regret,mean_regret_gap
xgb_n=50_depth=1_lr=0.03_sub=0.8_col=0.8_l2=1.0_l1=0.0,xgboost,50,1,0.03,0.8,0.8,1.0,0.0,215,50.0,1,50 trees d=1,0.552817,0.504065,0.048752,0.202465,0.247154,0.044689
xgb_n=50_depth=1_lr=0.03_sub=0.8_col=0.8_l2=1.0_l1=0.1,xgboost,50,1,0.03,0.8,0.8,1.0,0.1,215,50.0,2,50 trees d=1,0.558099,0.504065,0.054034,0.202113,0.252033,0.04992
xgb_n=50_depth=1_lr=0.03_sub=0.8_col=0.8_l2=5.0_l1=0.0,xgboost,50,1,0.03,0.8,0.8,5.0,0.0,215,50.0,3,50 trees d=1,0.558099,0.520325,0.037774,0.203521,0.237398,0.033877
xgb_n=50_depth=1_lr=0.03_sub=0.8_col=0.8_l2=5.0_l1=0.1,xgboost,50,1,0.03,0.8,0.8,5.0,0.1,215,50.0,4,50 trees d=1,0.558099,0.520325,0.037774,0.203873,0.235772,0.031899
xgb_n=50_depth=1_lr=0.03_sub=0.8_col=0.8_l2=10.0_l1=0.0,xgboost,50,1,0.03,0.8,0.8,10.0,0.0,215,50.0,5,50 trees d=1,0.558099,0.520325,0.037774,0.201056,0.23252,0.031464
xgb_n=50_depth=1_lr=0.03_sub=0.8_col=0.8_l2=10.0_l1=0.1,xgboost,50,1,0.03,0.8,0.8,10.0,0.1,215,50.0,6,50 trees d=1,0.554577,0.536585,0.017992,0.203169,0.22439,0.021221
xgb_n=50_depth=1_lr=0.03_sub=0.8_col=1.0_l2=1.0_l1=0.0,xgboost,50,1,0.03,0.8,1.0,1.0,0.0,215,50.0,7,50 trees d=1,0.552817,0.520325,0.032492,0.204225,0.239024,0.034799
xgb_n=50_depth=1_lr=0.03_sub=0.8_col=1.0_l2=1.0_l1=0.1,xgboost,50,1,0.03,0.8,1.0,1.0,0.1,215,50.0,8,50 trees d=1,0.552817,0.512195,0.040622,0.20669,0.24065,0.03396
xgb_n=50_depth=1_lr=0.03_sub=0.8_col=1.0_l2=5.0_l1=0.0,xgboost,50,1,0.03,0.8,1.0,5.0,0.0,215,50.0,9,50 trees d=1,0.559859,0.520325,0.039534,0.200352,0.237398,0.037046
xgb_n=50_depth=1_lr=0.03_sub=0.8_col=1.0_l2=5.0_l1=0.1,xgboost,50,1,0.03,0.8,1.0,5.0,0.1,215,50.0,10,50 trees d=1,0.556338,0.536585,0.019753,0.2,0.227642,0.027642
xgb_n=50_depth=1_lr=0.03_sub=0.8_col=1.0_l2=10.0_l1=0.0,xgboost,50,1,0.03,0.8,1.0,10.0,0.0,215,50.0,11,50 trees d=1,0.56338,0.520325,0.043055,0.197183,0.24065,0.043467
xgb_n=50_depth=1_lr=0.03_sub=0.8_col=1.0_l2=10.0_l1=0.1,xgboost,50,1,0.03,0.8,1.0,10.0,0.1,215,50.0,12,50 trees d=1,0.551056,0.512195,0.038861,0.204577,0.247154,0.042577
xgb_n=50_depth=1_lr=0.03_sub=1.0_col=0.8_l2=1.0_l1=0.0,xgboost,50,1,0.03,1.0,0.8,1.0,0.0,215,50.0,13,50 trees d=1,0.556338,0.504065,0.052273,0.200704,0.245528,0.044824
xgb_n=50_depth=1_lr=0.03_sub=1.0_col=0.8_l2=1.0_l1=0.1,xgboost,50,1,0.03,1.0,0.8,1.0,0.1,215,50.0,14,50 trees d=1,0.552817,0.495935,0.056882,0.202465,0.24878,0.046315
xgb_n=50_depth=1_lr=0.03_sub=1.0_col=0.8_l2=5.0_l1=0.0,xgboost,50,1,0.03,1.0,0.8,5.0,0.0,215,50.0,15,50 trees d=1,0.547535,0.504065,0.04347,0.205634,0.245528,0.039894
xgb_n=50_depth=1_lr=0.03_sub=1.0_col=0.8_l2=5.0_l1=0.1,xgboost,50,1,0.03,1.0,0.8,5.0,0.1,215,50.0,16,50 trees d=1,0.551056,0.504065,0.046991,0.203873,0.245528,0.041655
xgb_n=50_depth=1_lr=0.03_sub=1.0_col=0.8_l2=10.0_l1=0.0,xgboost,50,1,0.03,1.0,0.8,10.0,0.0,215,50.0,17,50 trees d=1,0.540493,0.504065,0.036428,0.210563,0.247154,0.036591
xgb_n=50_depth=1_lr=0.03_sub=1.0_col=0.8_l2=10.0_l1=0.1,xgboost,50,1,0.03,1.0,0.8,10.0,0.1,215,50.0,18,50 trees d=1,0.545775,0.504065,0.04171,0.207746,0.247154,0.039408
xgb_n=50_depth=1_lr=0.03_sub=1.0_col=1.0_l2=1.0_l1=0.0,xgboost,50,1,0.03,1.0,1.0,1.0,0.0,215,50.0,19,50 trees d=1,0.551056,0.512195,0.038861,0.203521,0.243902,0.040381
xgb_n=50_depth=1_lr=0.03_sub=1.0_col=1.0_l2=1.0_l1=0.1,xgboost,50,1,0.03,1.0,1.0,1.0,0.1,215,50.0,20,50 trees d=1,0.551056,0.504065,0.046991,0.205634,0.243902,0.038268
xgb_n=50_depth=1_lr=0.03_sub=1.0_col=1.0_l2=5.0_l1=0.0,xgboost,50,1,0.03,1.0,1.0,5.0,0.0,215,50.0,21,50 trees d=1,0.547535,0.504065,0.04347,0.205282,0.245528,0.040246
xgb_n=50_depth=1_lr=0.03_sub=1.0_col=1.0_l2=5.0_l1=0.1,xgboost,50,1,0.03,1.0,1.0,5.0,0.1,215,50.0,22,50 trees d=1,0.545775,0.504065,0.04171,0.207394,0.245528,0.038134
xgb_n=50_depth=1_lr=0.03_sub=1.0_col=1.0_l2=10.0_l1=0.0,xgboost,50,1,0.03,1.0,1.0,10.0,0.0,215,50.0,23,50 trees d=1,0.540493,0.504065,0.036428,0.210563,0.247154,0.036591
xgb_n=50_depth=1_lr=0.03_sub=1.0_col=1.0_l2=10.0_l1=0.1,xgboost,50,1,0.03,1.0,1.0,10.0,0.1,215,50.0,24,50 trees d=1,0.538732,0.512195,0.026537,0.211972,0.242276,0.030304
xgb_n=50_depth=1_lr=0.05_sub=0.8_col=0.8_l2=1.0_l1=0.0,xgboost,50,1,0.05,0.8,0.8,1.0,0.0,215,50.0,25,50 trees d=1,0.56338,0.528455,0.034925,0.189789,0.214634,0.024845
xgb_n=50_depth=1_lr=0.05_sub=0.8_col=0.8_l2=1.0_l1=0.1,xgboost,50,1,0.05,0.8,0.8,1.0,0.1,215,50.0,26,50 trees d=1,0.558099,0.520325,0.037774,0.191549,0.222764,0.031215
xgb_n=50_depth=1_lr=0.05_sub=0.8_col=0.8_l2=5.0_l1=0.0,xgboost,50,1,0.05,0.8,0.8,5.0,0.0,215,50.0,27,50 trees d=1,0.570423,0.520325,0.050098,0.186972,0.217886,0.030914
xgb_n=50_depth=1_lr=0.05_sub=0.8_col=0.8_l2=5.0_l1=0.1,xgboost,50,1,0.05,0.8,0.8,5.0,0.1,215,50.0,28,50 trees d=1,0.575704,0.520325,0.055379,0.183803,0.217886,0.034083
xgb_n=50_depth=1_lr=0.05_sub=0.8_col=0.8_l2=10.0_l1=0.0,xgboost,50,1,0.05,0.8,0.8,10.0,0.0,215,50.0,29,50 trees d=1,0.568662,0.512195,0.056467,0.189437,0.239024,0.049587
xgb_n=50_depth=1_lr=0.05_sub=0.8_col=0.8_l2=10.0_l1=0.1,xgboost,50,1,0.05,0.8,0.8,10.0,0.1,215,50.0,30,50 trees d=1,0.570423,0.504065,0.066358,0.18662,0.24065,0.05403
