target,model,feature,importance
acc_kimi_vl_a3b,kimi_vl_a3b,tda_edge_h1_total_persistence,0.025220880284905434
acc_kimi_vl_a3b,kimi_vl_a3b,tda_gray_h0_finite_count,0.023632202297449112
acc_kimi_vl_a3b,kimi_vl_a3b,tda_edge_h1_entropy,0.019661424681544304
acc_kimi_vl_a3b,kimi_vl_a3b,tda_gray_h0_entropy,0.019604574888944626
acc_kimi_vl_a3b,kimi_vl_a3b,tda_edge_h1_betti_change_count,0.018178654834628105
acc_kimi_vl_a3b,kimi_vl_a3b,tda_edge_h1_finite_count,0.016801580786705017
acc_kimi_vl_a3b,kimi_vl_a3b,dim_CL,0.016649510711431503
acc_kimi_vl_a3b,kimi_vl_a3b,tda_gray_h0_p95_persistence,0.016285810619592667
acc_kimi_vl_a3b,kimi_vl_a3b,tda_gray_euler_max,0.015710676088929176
acc_kimi_vl_a3b,kimi_vl_a3b,claim_char_count,0.015519930049777031
acc_kimi_vl_a3b,kimi_vl_a3b,tda_gray_h1_max_persistence,0.015449629165232182
acc_kimi_vl_a3b,kimi_vl_a3b,tda_edge_h1_std_persistence,0.015162485651671886
acc_kimi_vl_a3b,kimi_vl_a3b,tda_edge_h1_betti_std,0.014903408475220203
acc_kimi_vl_a3b,kimi_vl_a3b,tda_edge_h0_p95_persistence,0.01477611530572176
acc_kimi_vl_a3b,kimi_vl_a3b,tda_edge_h1_p90_persistence,0.014453183859586716
acc_kimi_vl_a3b,kimi_vl_a3b,tda_gray_h0_betti_change_count,0.014124156907200813
acc_kimi_vl_a3b,kimi_vl_a3b,tda_gray_h1_mean_persistence,0.014105047099292278
acc_kimi_vl_a3b,kimi_vl_a3b,tda_gray_h0_betti_argmax_threshold,0.013927455060184002
acc_kimi_vl_a3b,kimi_vl_a3b,tda_edge_h1_betti_area,0.013814269565045834
acc_kimi_vl_a3b,kimi_vl_a3b,tda_edge_euler_std,0.01357935555279255
acc_kimi_vl_a3b,kimi_vl_a3b,tda_gray_h0_total_persistence,0.013411648571491241
acc_kimi_vl_a3b,kimi_vl_a3b,tda_gray_mean,0.01332142110913992
acc_kimi_vl_a3b,kimi_vl_a3b,claim_numeric_token_count,0.013143499381840229
acc_kimi_vl_a3b,kimi_vl_a3b,tda_gray_std,0.013088103383779526
acc_kimi_vl_a3b,kimi_vl_a3b,tda_edge_h1_betti_max,0.01288675144314766
acc_kimi_vl_a3b,kimi_vl_a3b,tda_edge_h1_max_persistence,0.012673814781010151
acc_kimi_vl_a3b,kimi_vl_a3b,tda_edge_h1_p95_persistence,0.012522331438958645
acc_kimi_vl_a3b,kimi_vl_a3b,dim_QLl,0.012306314893066883
acc_kimi_vl_a3b,kimi_vl_a3b,tda_gray_h0_max_persistence,0.012273328378796577
acc_kimi_vl_a3b,kimi_vl_a3b,tda_edge_mean,0.012219703756272793
acc_kimi_vl_a3b,kimi_vl_a3b,tda_gray_h0_p90_persistence,0.012086950242519379
acc_kimi_vl_a3b,kimi_vl_a3b,tda_gray_h1_betti_change_count,0.011990945786237717
acc_kimi_vl_a3b,kimi_vl_a3b,image_height,0.011830665171146393
acc_kimi_vl_a3b,kimi_vl_a3b,tda_gray_h1_betti_area,0.011759909801185131
acc_kimi_vl_a3b,kimi_vl_a3b,tda_edge_euler_max,0.011752148158848286
acc_kimi_vl_a3b,kimi_vl_a3b,tda_edge_std,0.011666077189147472
acc_kimi_vl_a3b,kimi_vl_a3b,dim_VL,0.011607368476688862
acc_kimi_vl_a3b,kimi_vl_a3b,caption_word_count,0.011583873070776463
acc_kimi_vl_a3b,kimi_vl_a3b,image_aspect_ratio,0.011358602903783321
acc_kimi_vl_a3b,kimi_vl_a3b,tda_edge_h0_entropy,0.011352624744176865
acc_kimi_vl_a3b,kimi_vl_a3b,image_width,0.01123152393847704
acc_kimi_vl_a3b,kimi_vl_a3b,tda_gray_euler_area,0.011084163561463356
acc_kimi_vl_a3b,kimi_vl_a3b,caption_char_count,0.011073990724980831
acc_kimi_vl_a3b,kimi_vl_a3b,dim_QLq,0.010626884177327156
acc_kimi_vl_a3b,kimi_vl_a3b,tda_gray_h1_betti_max,0.01058370154350996
acc_kimi_vl_a3b,kimi_vl_a3b,dim_GS,0.01055122446268797
acc_kimi_vl_a3b,kimi_vl_a3b,tda_gray_euler_min,0.010331409983336926
acc_kimi_vl_a3b,kimi_vl_a3b,tda_gray_h1_p90_persistence,0.010327128693461418
acc_kimi_vl_a3b,kimi_vl_a3b,tda_gray_h1_finite_count,0.010304366238415241
acc_kimi_vl_a3b,kimi_vl_a3b,context_char_count,0.010193711146712303
acc_kimi_vl_a3b,kimi_vl_a3b,tda_edge_h0_mean_persistence,0.010166088119149208
acc_kimi_vl_a3b,kimi_vl_a3b,tda_edge_h0_betti_argmax_threshold,0.010135018266737461
acc_kimi_vl_a3b,kimi_vl_a3b,tda_gray_h1_std_persistence,0.010073376819491386
acc_kimi_vl_a3b,kimi_vl_a3b,claim_percent_count,0.009977505542337894
acc_kimi_vl_a3b,kimi_vl_a3b,tda_edge_h1_betti_argmax_threshold,0.009818930178880692
acc_kimi_vl_a3b,kimi_vl_a3b,tda_gray_h0_betti_area,0.00980572309345007
acc_kimi_vl_a3b,kimi_vl_a3b,tda_edge_h0_std_persistence,0.009556365199387074
acc_kimi_vl_a3b,kimi_vl_a3b,tda_edge_h0_finite_count,0.00950526725500822
acc_kimi_vl_a3b,kimi_vl_a3b,dim_MCu,0.00913762953132391
acc_kimi_vl_a3b,kimi_vl_a3b,tda_edge_euler_area,0.009012419730424881
acc_kimi_vl_a3b,kimi_vl_a3b,tda_gray_h1_p95_persistence,0.008933870121836662
acc_kimi_vl_a3b,kimi_vl_a3b,tda_gray_h1_betti_mean,0.008928831666707993
acc_kimi_vl_a3b,kimi_vl_a3b,claim_type_analytical,0.008863779716193676
acc_kimi_vl_a3b,kimi_vl_a3b,tda_edge_h0_betti_std,0.008847935125231743
acc_kimi_vl_a3b,kimi_vl_a3b,tda_edge_h0_betti_area,0.008837616071105003
acc_kimi_vl_a3b,kimi_vl_a3b,tda_gray_h0_std_persistence,0.008836223743855953
acc_kimi_vl_a3b,kimi_vl_a3b,dim_MA,0.008768001571297646
acc_kimi_vl_a3b,kimi_vl_a3b,claim_word_count,0.008738705888390541
acc_kimi_vl_a3b,kimi_vl_a3b,tda_gray_h0_mean_persistence,0.008550206199288368
acc_kimi_vl_a3b,kimi_vl_a3b,tda_gray_h1_entropy,0.008355977013707161
acc_kimi_vl_a3b,kimi_vl_a3b,tda_edge_h0_betti_change_count,0.008267232216894627
acc_kimi_vl_a3b,kimi_vl_a3b,tda_gray_h0_betti_max,0.008102609775960445
acc_kimi_vl_a3b,kimi_vl_a3b,tda_gray_euler_std,0.00786571390926838
acc_kimi_vl_a3b,kimi_vl_a3b,tda_edge_h0_max_persistence,0.0077037569135427475
acc_kimi_vl_a3b,kimi_vl_a3b,caption_math_symbol_count,0.007648556027561426
acc_kimi_vl_a3b,kimi_vl_a3b,tda_gray_h1_betti_std,0.007549249101430178
acc_kimi_vl_a3b,kimi_vl_a3b,tda_gray_h0_betti_std,0.00754611287266016
acc_kimi_vl_a3b,kimi_vl_a3b,tda_edge_h0_p90_persistence,0.007302688434720039
acc_kimi_vl_a3b,kimi_vl_a3b,dim_AT,0.006908155512064695
acc_kimi_vl_a3b,kimi_vl_a3b,tda_resized_width,0.00667202053591609
