candidate_id,kind,n_estimators,max_depth,learning_rate,subsample,colsample_bytree,reg_lambda,reg_alpha,seed,complexity_score,complexity_order,complexity_label,train_top1_hit_rate,validation_top1_hit_rate,top1_hit_rate_gap,train_mean_regret,validation_mean_regret,mean_regret_gap
xgb_n=50_depth=1_lr=0.03_sub=0.8_col=0.8_l2=1.0_l1=0.0,xgboost,50,1,0.03,0.8,0.8,1.0,0.0,215,50.0,1,50 trees d=1,0.552817,0.447154,0.105663,0.205634,0.271545,0.065911
xgb_n=50_depth=1_lr=0.03_sub=0.8_col=0.8_l2=1.0_l1=0.1,xgboost,50,1,0.03,0.8,0.8,1.0,0.1,215,50.0,2,50 trees d=1,0.556338,0.447154,0.109184,0.207042,0.269919,0.062877
xgb_n=50_depth=1_lr=0.03_sub=0.8_col=0.8_l2=5.0_l1=0.0,xgboost,50,1,0.03,0.8,0.8,5.0,0.0,215,50.0,3,50 trees d=1,0.556338,0.455285,0.101053,0.203873,0.268293,0.06442
xgb_n=50_depth=1_lr=0.03_sub=0.8_col=0.8_l2=5.0_l1=0.1,xgboost,50,1,0.03,0.8,0.8,5.0,0.1,215,50.0,4,50 trees d=1,0.565141,0.463415,0.101726,0.200704,0.266667,0.065963
xgb_n=50_depth=1_lr=0.03_sub=0.8_col=0.8_l2=10.0_l1=0.0,xgboost,50,1,0.03,0.8,0.8,10.0,0.0,215,50.0,5,50 trees d=1,0.556338,0.471545,0.084793,0.205986,0.260163,0.054177
xgb_n=50_depth=1_lr=0.03_sub=0.8_col=0.8_l2=10.0_l1=0.1,xgboost,50,1,0.03,0.8,0.8,10.0,0.1,215,50.0,6,50 trees d=1,0.552817,0.479675,0.073142,0.208451,0.258537,0.050086
xgb_n=50_depth=1_lr=0.03_sub=0.8_col=1.0_l2=1.0_l1=0.0,xgboost,50,1,0.03,0.8,1.0,1.0,0.0,215,50.0,7,50 trees d=1,0.559859,0.455285,0.104574,0.200704,0.273171,0.072467
xgb_n=50_depth=1_lr=0.03_sub=0.8_col=1.0_l2=1.0_l1=0.1,xgboost,50,1,0.03,0.8,1.0,1.0,0.1,215,50.0,8,50 trees d=1,0.56162,0.463415,0.098205,0.198239,0.263415,0.065176
xgb_n=50_depth=1_lr=0.03_sub=0.8_col=1.0_l2=5.0_l1=0.0,xgboost,50,1,0.03,0.8,1.0,5.0,0.0,215,50.0,9,50 trees d=1,0.559859,0.439024,0.120835,0.205634,0.279675,0.074041
xgb_n=50_depth=1_lr=0.03_sub=0.8_col=1.0_l2=5.0_l1=0.1,xgboost,50,1,0.03,0.8,1.0,5.0,0.1,215,50.0,10,50 trees d=1,0.559859,0.439024,0.120835,0.205634,0.279675,0.074041
xgb_n=50_depth=1_lr=0.03_sub=0.8_col=1.0_l2=10.0_l1=0.0,xgboost,50,1,0.03,0.8,1.0,10.0,0.0,215,50.0,11,50 trees d=1,0.552817,0.487805,0.065012,0.208451,0.24878,0.040329
xgb_n=50_depth=1_lr=0.03_sub=0.8_col=1.0_l2=10.0_l1=0.1,xgboost,50,1,0.03,0.8,1.0,10.0,0.1,215,50.0,12,50 trees d=1,0.551056,0.471545,0.079511,0.209507,0.256911,0.047404
xgb_n=50_depth=1_lr=0.03_sub=1.0_col=0.8_l2=1.0_l1=0.0,xgboost,50,1,0.03,1.0,0.8,1.0,0.0,215,50.0,13,50 trees d=1,0.559859,0.471545,0.088314,0.207746,0.265041,0.057295
xgb_n=50_depth=1_lr=0.03_sub=1.0_col=0.8_l2=1.0_l1=0.1,xgboost,50,1,0.03,1.0,0.8,1.0,0.1,215,50.0,14,50 trees d=1,0.551056,0.479675,0.071381,0.211972,0.255285,0.043313
xgb_n=50_depth=1_lr=0.03_sub=1.0_col=0.8_l2=5.0_l1=0.0,xgboost,50,1,0.03,1.0,0.8,5.0,0.0,215,50.0,15,50 trees d=1,0.551056,0.504065,0.046991,0.209155,0.245528,0.036373
xgb_n=50_depth=1_lr=0.03_sub=1.0_col=0.8_l2=5.0_l1=0.1,xgboost,50,1,0.03,1.0,0.8,5.0,0.1,215,50.0,16,50 trees d=1,0.554577,0.487805,0.066772,0.207746,0.24878,0.041034
xgb_n=50_depth=1_lr=0.03_sub=1.0_col=0.8_l2=10.0_l1=0.0,xgboost,50,1,0.03,1.0,0.8,10.0,0.0,215,50.0,17,50 trees d=1,0.542254,0.487805,0.054449,0.211268,0.245528,0.03426
xgb_n=50_depth=1_lr=0.03_sub=1.0_col=0.8_l2=10.0_l1=0.1,xgboost,50,1,0.03,1.0,0.8,10.0,0.1,215,50.0,18,50 trees d=1,0.540493,0.487805,0.052688,0.21338,0.245528,0.032148
xgb_n=50_depth=1_lr=0.03_sub=1.0_col=1.0_l2=1.0_l1=0.0,xgboost,50,1,0.03,1.0,1.0,1.0,0.0,215,50.0,19,50 trees d=1,0.556338,0.479675,0.076663,0.209507,0.258537,0.04903
xgb_n=50_depth=1_lr=0.03_sub=1.0_col=1.0_l2=1.0_l1=0.1,xgboost,50,1,0.03,1.0,1.0,1.0,0.1,215,50.0,20,50 trees d=1,0.552817,0.479675,0.073142,0.211268,0.255285,0.044017
xgb_n=50_depth=1_lr=0.03_sub=1.0_col=1.0_l2=5.0_l1=0.0,xgboost,50,1,0.03,1.0,1.0,5.0,0.0,215,50.0,21,50 trees d=1,0.551056,0.504065,0.046991,0.209155,0.245528,0.036373
xgb_n=50_depth=1_lr=0.03_sub=1.0_col=1.0_l2=5.0_l1=0.1,xgboost,50,1,0.03,1.0,1.0,5.0,0.1,215,50.0,22,50 trees d=1,0.554577,0.487805,0.066772,0.207746,0.24878,0.041034
xgb_n=50_depth=1_lr=0.03_sub=1.0_col=1.0_l2=10.0_l1=0.0,xgboost,50,1,0.03,1.0,1.0,10.0,0.0,215,50.0,23,50 trees d=1,0.544014,0.487805,0.056209,0.210563,0.245528,0.034965
xgb_n=50_depth=1_lr=0.03_sub=1.0_col=1.0_l2=10.0_l1=0.1,xgboost,50,1,0.03,1.0,1.0,10.0,0.1,215,50.0,24,50 trees d=1,0.538732,0.487805,0.050927,0.214437,0.245528,0.031091
xgb_n=50_depth=1_lr=0.05_sub=0.8_col=0.8_l2=1.0_l1=0.0,xgboost,50,1,0.05,0.8,0.8,1.0,0.0,215,50.0,25,50 trees d=1,0.579225,0.471545,0.10768,0.185563,0.252033,0.06647
xgb_n=50_depth=1_lr=0.05_sub=0.8_col=0.8_l2=1.0_l1=0.1,xgboost,50,1,0.05,0.8,0.8,1.0,0.1,215,50.0,26,50 trees d=1,0.582746,0.471545,0.111201,0.183803,0.252033,0.06823
xgb_n=50_depth=1_lr=0.05_sub=0.8_col=0.8_l2=5.0_l1=0.0,xgboost,50,1,0.05,0.8,0.8,5.0,0.0,215,50.0,27,50 trees d=1,0.586268,0.471545,0.114723,0.180634,0.256911,0.076277
xgb_n=50_depth=1_lr=0.05_sub=0.8_col=0.8_l2=5.0_l1=0.1,xgboost,50,1,0.05,0.8,0.8,5.0,0.1,215,50.0,28,50 trees d=1,0.586268,0.463415,0.122853,0.180282,0.261789,0.081507
xgb_n=50_depth=1_lr=0.05_sub=0.8_col=0.8_l2=10.0_l1=0.0,xgboost,50,1,0.05,0.8,0.8,10.0,0.0,215,50.0,29,50 trees d=1,0.579225,0.463415,0.11581,0.183803,0.258537,0.074734
xgb_n=50_depth=1_lr=0.05_sub=0.8_col=0.8_l2=10.0_l1=0.1,xgboost,50,1,0.05,0.8,0.8,10.0,0.1,215,50.0,30,50 trees d=1,0.579225,0.463415,0.11581,0.184155,0.258537,0.074382
xgb_n=50_depth=1_lr=0.05_sub=0.8_col=1.0_l2=1.0_l1=0.0,xgboost,50,1,0.05,0.8,1.0,1.0,0.0,215,50.0,31,50 trees d=1,0.568662,0.471545,0.097117,0.189789,0.247154,0.057365
xgb_n=50_depth=1_lr=0.05_sub=0.8_col=1.0_l2=1.0_l1=0.1,xgboost,50,1,0.05,0.8,1.0,1.0,0.1,215,50.0,32,50 trees d=1,0.582746,0.455285,0.127461,0.185211,0.263415,0.078204
xgb_n=50_depth=1_lr=0.05_sub=0.8_col=1.0_l2=5.0_l1=0.0,xgboost,50,1,0.05,0.8,1.0,5.0,0.0,215,50.0,33,50 trees d=1,0.577465,0.463415,0.11405,0.187676,0.263415,0.075739
xgb_n=50_depth=1_lr=0.05_sub=0.8_col=1.0_l2=5.0_l1=0.1,xgboost,50,1,0.05,0.8,1.0,5.0,0.1,215,50.0,34,50 trees d=1,0.588028,0.447154,0.140874,0.183451,0.265041,0.08159
xgb_n=50_depth=1_lr=0.05_sub=0.8_col=1.0_l2=10.0_l1=0.0,xgboost,50,1,0.05,0.8,1.0,10.0,0.0,215,50.0,35,50 trees d=1,0.584507,0.471545,0.112962,0.182042,0.260163,0.078121
xgb_n=50_depth=1_lr=0.05_sub=0.8_col=1.0_l2=10.0_l1=0.1,xgboost,50,1,0.05,0.8,1.0,10.0,0.1,215,50.0,36,50 trees d=1,0.579225,0.471545,0.10768,0.185563,0.261789,0.076226
xgb_n=50_depth=1_lr=0.05_sub=1.0_col=0.8_l2=1.0_l1=0.0,xgboost,50,1,0.05,1.0,0.8,1.0,0.0,215,50.0,37,50 trees d=1,0.580986,0.512195,0.068791,0.186268,0.242276,0.056008
xgb_n=50_depth=1_lr=0.05_sub=1.0_col=0.8_l2=1.0_l1=0.1,xgboost,50,1,0.05,1.0,0.8,1.0,0.1,215,50.0,38,50 trees d=1,0.575704,0.512195,0.063509,0.189789,0.245528,0.055739
xgb_n=50_depth=1_lr=0.05_sub=1.0_col=0.8_l2=5.0_l1=0.0,xgboost,50,1,0.05,1.0,0.8,5.0,0.0,215,50.0,39,50 trees d=1,0.579225,0.487805,0.09142,0.18838,0.253659,0.065279
xgb_n=50_depth=1_lr=0.05_sub=1.0_col=0.8_l2=5.0_l1=0.1,xgboost,50,1,0.05,1.0,0.8,5.0,0.1,215,50.0,40,50 trees d=1,0.573944,0.479675,0.094269,0.191197,0.261789,0.070592
xgb_n=50_depth=1_lr=0.05_sub=1.0_col=0.8_l2=10.0_l1=0.0,xgboost,50,1,0.05,1.0,0.8,10.0,0.0,215,50.0,41,50 trees d=1,0.565141,0.463415,0.101726,0.192254,0.260163,0.067909
xgb_n=50_depth=1_lr=0.05_sub=1.0_col=0.8_l2=10.0_l1=0.1,xgboost,50,1,0.05,1.0,0.8,10.0,0.1,215,50.0,42,50 trees d=1,0.56162,0.463415,0.098205,0.195423,0.260163,0.06474
xgb_n=50_depth=1_lr=0.05_sub=1.0_col=1.0_l2=1.0_l1=0.0,xgboost,50,1,0.05,1.0,1.0,1.0,0.0,215,50.0,43,50 trees d=1,0.579225,0.512195,0.06703,0.18662,0.242276,0.055656
xgb_n=50_depth=1_lr=0.05_sub=1.0_col=1.0_l2=1.0_l1=0.1,xgboost,50,1,0.05,1.0,1.0,1.0,0.1,215,50.0,44,50 trees d=1,0.579225,0.512195,0.06703,0.186972,0.245528,0.058556
xgb_n=50_depth=1_lr=0.05_sub=1.0_col=1.0_l2=5.0_l1=0.0,xgboost,50,1,0.05,1.0,1.0,5.0,0.0,215,50.0,45,50 trees d=1,0.570423,0.487805,0.082618,0.191197,0.253659,0.062462
xgb_n=50_depth=1_lr=0.05_sub=1.0_col=1.0_l2=5.0_l1=0.1,xgboost,50,1,0.05,1.0,1.0,5.0,0.1,215,50.0,46,50 trees d=1,0.572183,0.487805,0.084378,0.191197,0.253659,0.062462
xgb_n=50_depth=1_lr=0.05_sub=1.0_col=1.0_l2=10.0_l1=0.0,xgboost,50,1,0.05,1.0,1.0,10.0,0.0,215,50.0,47,50 trees d=1,0.568662,0.471545,0.097117,0.191549,0.263415,0.071866
xgb_n=50_depth=1_lr=0.05_sub=1.0_col=1.0_l2=10.0_l1=0.1,xgboost,50,1,0.05,1.0,1.0,10.0,0.1,215,50.0,48,50 trees d=1,0.565141,0.463415,0.101726,0.19331,0.265041,0.071731
