replicate,rows,unique_groups,top1_hit_rate,mean_regret,median_regret
1,123,55,0.2764227642276423,0.36097560975609755,0.4
2,114,59,0.4298245614035088,0.312280701754386,0.2
3,120,56,0.26666666666666666,0.37,0.2
4,128,56,0.3125,0.36562500000000003,0.4
5,116,54,0.3706896551724138,0.36034482758620695,0.2
6,116,54,0.3103448275862069,0.34137931034482766,0.4
7,122,54,0.36065573770491804,0.3049180327868853,0.2
8,116,59,0.39655172413793105,0.3206896551724139,0.2
9,111,58,0.32432432432432434,0.33873873873873883,0.2
10,114,65,0.32456140350877194,0.3350877192982456,0.2
11,122,51,0.32786885245901637,0.3344262295081968,0.4
12,123,54,0.34959349593495936,0.32845528455284556,0.2
13,108,55,0.2962962962962963,0.3351851851851852,0.30000000000000004
14,114,55,0.41228070175438597,0.2947368421052632,0.2
15,116,56,0.3706896551724138,0.33793103448275863,0.30000000000000004
16,120,54,0.35833333333333334,0.35,0.4
17,122,62,0.36885245901639346,0.29672131147540987,0.2
18,126,56,0.373015873015873,0.3238095238095238,0.2
19,117,55,0.28205128205128205,0.37094017094017095,0.4
20,125,60,0.4,0.30080000000000007,0.2
21,125,50,0.392,0.2816,0.2
22,125,60,0.368,0.32320000000000004,0.2
23,126,58,0.3333333333333333,0.3079365079365079,0.2
24,116,56,0.31896551724137934,0.3500000000000001,0.2
25,120,53,0.35833333333333334,0.305,0.2
26,129,57,0.4186046511627907,0.30387596899224806,0.2
27,125,55,0.392,0.2848,0.2
28,112,54,0.41964285714285715,0.2892857142857143,0.2
29,123,55,0.36585365853658536,0.29756097560975603,0.2
30,123,59,0.43089430894308944,0.2861788617886179,0.2
31,123,59,0.36585365853658536,0.3398373983739837,0.4
32,119,58,0.35294117647058826,0.3411764705882353,0.2
33,120,56,0.35833333333333334,0.33833333333333343,0.2
34,122,61,0.27049180327868855,0.39344262295081966,0.4
35,123,56,0.34146341463414637,0.31056910569105695,0.2
36,112,57,0.3392857142857143,0.35357142857142854,0.4
37,115,59,0.3391304347826087,0.32695652173913037,0.2
38,113,57,0.39823008849557523,0.32212389380530976,0.2
39,118,58,0.423728813559322,0.2983050847457627,0.2
40,119,59,0.3949579831932773,0.29915966386554627,0.2
41,120,52,0.38333333333333336,0.31833333333333336,0.2
42,116,61,0.35344827586206895,0.32241379310344825,0.2
43,121,53,0.34710743801652894,0.3619834710743802,0.4
44,126,53,0.3253968253968254,0.3222222222222222,0.2
45,121,59,0.35537190082644626,0.31900826446281,0.2
46,119,61,0.40336134453781514,0.3058823529411765,0.2
47,116,60,0.3103448275862069,0.356896551724138,0.4
48,118,58,0.3983050847457627,0.34915254237288124,0.2
49,120,53,0.3,0.37833333333333335,0.4
50,121,54,0.34710743801652894,0.3239669421487604,0.2
