candidate_id,kind,hidden_layer_sizes,hidden_layer_count,max_hidden_width,activation,alpha,optimizer,seed,input_dim,output_dim,parameter_count,complexity_score,complexity_order,complexity_label,train_top1_hit_rate,validation_top1_hit_rate,top1_hit_rate_gap,train_mean_regret,validation_mean_regret,mean_regret_gap,fit_seconds
mlp_layers=8_act=relu_alpha=0.0001,torch_mlp,"(8,)",1,8,relu,0.0001,torch_lbfgs,215,30,3,275,275.0,1,torch mlp 8 relu a=0.0001,0.635563,0.455285,0.180278,0.145423,0.266667,0.121244,0.120794
mlp_layers=8_act=relu_alpha=0.001,torch_mlp,"(8,)",1,8,relu,0.001,torch_lbfgs,215,30,3,275,275.0,2,torch mlp 8 relu a=0.001,0.651408,0.487805,0.163603,0.142606,0.252033,0.109427,0.121219
mlp_layers=8_act=relu_alpha=0.01,torch_mlp,"(8,)",1,8,relu,0.01,torch_lbfgs,215,30,3,275,275.0,3,torch mlp 8 relu a=0.01,0.646127,0.447154,0.198973,0.137324,0.284553,0.147229,0.095587
mlp_layers=8_act=relu_alpha=0.1,torch_mlp,"(8,)",1,8,relu,0.1,torch_lbfgs,215,30,3,275,275.0,4,torch mlp 8 relu a=0.1,0.642606,0.414634,0.227972,0.147535,0.287805,0.14027,0.121236
mlp_layers=8_act=tanh_alpha=0.0001,torch_mlp,"(8,)",1,8,tanh,0.0001,torch_lbfgs,215,30,3,275,275.0,5,torch mlp 8 tanh a=0.0001,0.681338,0.406504,0.274834,0.120423,0.313821,0.193398,0.128033
mlp_layers=8_act=tanh_alpha=0.001,torch_mlp,"(8,)",1,8,tanh,0.001,torch_lbfgs,215,30,3,275,275.0,6,torch mlp 8 tanh a=0.001,0.669014,0.422764,0.24625,0.129225,0.320325,0.1911,0.127109
mlp_layers=8_act=tanh_alpha=0.01,torch_mlp,"(8,)",1,8,tanh,0.01,torch_lbfgs,215,30,3,275,275.0,7,torch mlp 8 tanh a=0.01,0.677817,0.349593,0.328224,0.123592,0.339837,0.216245,0.152615
mlp_layers=8_act=tanh_alpha=0.1,torch_mlp,"(8,)",1,8,tanh,0.1,torch_lbfgs,215,30,3,275,275.0,8,torch mlp 8 tanh a=0.1,0.65493,0.455285,0.199645,0.139789,0.287805,0.148016,0.130988
mlp_layers=16_act=relu_alpha=0.0001,torch_mlp,"(16,)",1,16,relu,0.0001,torch_lbfgs,215,30,3,547,547.0,9,torch mlp 16 relu a=0.0001,0.674296,0.447154,0.227142,0.116197,0.282927,0.16673,0.119127
mlp_layers=16_act=relu_alpha=0.001,torch_mlp,"(16,)",1,16,relu,0.001,torch_lbfgs,215,30,3,547,547.0,10,torch mlp 16 relu a=0.001,0.669014,0.495935,0.173079,0.121831,0.24878,0.126949,0.13522
mlp_layers=16_act=relu_alpha=0.01,torch_mlp,"(16,)",1,16,relu,0.01,torch_lbfgs,215,30,3,547,547.0,11,torch mlp 16 relu a=0.01,0.679577,0.479675,0.199902,0.117606,0.256911,0.139305,0.121494
mlp_layers=16_act=relu_alpha=0.1,torch_mlp,"(16,)",1,16,relu,0.1,torch_lbfgs,215,30,3,547,547.0,12,torch mlp 16 relu a=0.1,0.697183,0.447154,0.250029,0.10493,0.304065,0.199135,0.120915
mlp_layers=16_act=tanh_alpha=0.0001,torch_mlp,"(16,)",1,16,tanh,0.0001,torch_lbfgs,215,30,3,547,547.0,13,torch mlp 16 tanh a=0.0001,0.767606,0.398374,0.369232,0.078169,0.300813,0.222644,0.13062
mlp_layers=16_act=tanh_alpha=0.001,torch_mlp,"(16,)",1,16,tanh,0.001,torch_lbfgs,215,30,3,547,547.0,14,torch mlp 16 tanh a=0.001,0.778169,0.430894,0.347275,0.082042,0.300813,0.218771,0.127408
mlp_layers=16_act=tanh_alpha=0.01,torch_mlp,"(16,)",1,16,tanh,0.01,torch_lbfgs,215,30,3,547,547.0,15,torch mlp 16 tanh a=0.01,0.762324,0.471545,0.290779,0.078169,0.266667,0.188498,0.126971
mlp_layers=16_act=tanh_alpha=0.1,torch_mlp,"(16,)",1,16,tanh,0.1,torch_lbfgs,215,30,3,547,547.0,16,torch mlp 16 tanh a=0.1,0.748239,0.504065,0.244174,0.085563,0.278049,0.192486,0.126516
mlp_layers=32_act=relu_alpha=0.0001,torch_mlp,"(32,)",1,32,relu,0.0001,torch_lbfgs,215,30,3,1091,1091.0,17,torch mlp 32 relu a=0.0001,0.848592,0.463415,0.385177,0.041197,0.297561,0.256364,0.125166
mlp_layers=32_act=relu_alpha=0.001,torch_mlp,"(32,)",1,32,relu,0.001,torch_lbfgs,215,30,3,1091,1091.0,18,torch mlp 32 relu a=0.001,0.866197,0.447154,0.419043,0.037324,0.291057,0.253733,0.124552
mlp_layers=32_act=relu_alpha=0.01,torch_mlp,"(32,)",1,32,relu,0.01,torch_lbfgs,215,30,3,1091,1091.0,19,torch mlp 32 relu a=0.01,0.850352,0.479675,0.370677,0.041197,0.284553,0.243356,0.124987
mlp_layers=32_act=relu_alpha=0.1,torch_mlp,"(32,)",1,32,relu,0.1,torch_lbfgs,215,30,3,1091,1091.0,20,torch mlp 32 relu a=0.1,0.876761,0.495935,0.380826,0.033099,0.258537,0.225438,0.165714
mlp_layers=32_act=tanh_alpha=0.0001,torch_mlp,"(32,)",1,32,tanh,0.0001,torch_lbfgs,215,30,3,1091,1091.0,21,torch mlp 32 tanh a=0.0001,0.931338,0.439024,0.492314,0.016549,0.291057,0.274508,0.139265
mlp_layers=32_act=tanh_alpha=0.001,torch_mlp,"(32,)",1,32,tanh,0.001,torch_lbfgs,215,30,3,1091,1091.0,22,torch mlp 32 tanh a=0.001,0.922535,0.430894,0.491641,0.01831,0.281301,0.262991,0.136557
mlp_layers=32_act=tanh_alpha=0.01,torch_mlp,"(32,)",1,32,tanh,0.01,torch_lbfgs,215,30,3,1091,1091.0,23,torch mlp 32 tanh a=0.01,0.913732,0.439024,0.474708,0.020775,0.284553,0.263778,0.134667
mlp_layers=32_act=tanh_alpha=0.1,torch_mlp,"(32,)",1,32,tanh,0.1,torch_lbfgs,215,30,3,1091,1091.0,24,torch mlp 32 tanh a=0.1,0.882042,0.447154,0.434888,0.028521,0.278049,0.249528,0.134664
mlp_layers=64_act=relu_alpha=0.0001,torch_mlp,"(64,)",1,64,relu,0.0001,torch_lbfgs,215,30,3,2179,2179.0,25,torch mlp 64 relu a=0.0001,0.994718,0.439024,0.555694,0.001056,0.266667,0.265611,0.197511
mlp_layers=64_act=relu_alpha=0.001,torch_mlp,"(64,)",1,64,relu,0.001,torch_lbfgs,215,30,3,2179,2179.0,26,torch mlp 64 relu a=0.001,0.996479,0.471545,0.524934,0.000704,0.279675,0.278971,0.196249
mlp_layers=64_act=relu_alpha=0.01,torch_mlp,"(64,)",1,64,relu,0.01,torch_lbfgs,215,30,3,2179,2179.0,27,torch mlp 64 relu a=0.01,0.994718,0.463415,0.531303,0.001056,0.261789,0.260733,0.196877
mlp_layers=64_act=relu_alpha=0.1,torch_mlp,"(64,)",1,64,relu,0.1,torch_lbfgs,215,30,3,2179,2179.0,28,torch mlp 64 relu a=0.1,0.982394,0.447154,0.53524,0.003521,0.263415,0.259894,0.196777
mlp_layers=64_act=tanh_alpha=0.0001,torch_mlp,"(64,)",1,64,tanh,0.0001,torch_lbfgs,215,30,3,2179,2179.0,29,torch mlp 64 tanh a=0.0001,1.0,0.382114,0.617886,0.0,0.313821,0.313821,0.200609
mlp_layers=64_act=tanh_alpha=0.001,torch_mlp,"(64,)",1,64,tanh,0.001,torch_lbfgs,215,30,3,2179,2179.0,30,torch mlp 64 tanh a=0.001,1.0,0.430894,0.569106,0.0,0.287805,0.287805,0.202549
mlp_layers=64_act=tanh_alpha=0.01,torch_mlp,"(64,)",1,64,tanh,0.01,torch_lbfgs,215,30,3,2179,2179.0,31,torch mlp 64 tanh a=0.01,1.0,0.414634,0.585366,0.0,0.312195,0.312195,0.20234
mlp_layers=64_act=tanh_alpha=0.1,torch_mlp,"(64,)",1,64,tanh,0.1,torch_lbfgs,215,30,3,2179,2179.0,32,torch mlp 64 tanh a=0.1,0.994718,0.414634,0.580084,0.001056,0.279675,0.278619,0.20185
mlp_layers=8x8_act=relu_alpha=0.0001,torch_mlp,"(8, 8)",2,8,relu,0.0001,torch_lbfgs,215,30,3,347,347.0,33,torch mlp 8x8 relu a=0.0001,0.661972,0.447154,0.214818,0.136972,0.282927,0.145955,0.12581
mlp_layers=8x8_act=relu_alpha=0.001,torch_mlp,"(8, 8)",2,8,relu,0.001,torch_lbfgs,215,30,3,347,347.0,34,torch mlp 8x8 relu a=0.001,0.697183,0.463415,0.233768,0.120423,0.271545,0.151122,0.130888
mlp_layers=8x8_act=relu_alpha=0.01,torch_mlp,"(8, 8)",2,8,relu,0.01,torch_lbfgs,215,30,3,347,347.0,35,torch mlp 8x8 relu a=0.01,0.658451,0.455285,0.203166,0.131338,0.278049,0.146711,0.131386
mlp_layers=8x8_act=relu_alpha=0.1,torch_mlp,"(8, 8)",2,8,relu,0.1,torch_lbfgs,215,30,3,347,347.0,36,torch mlp 8x8 relu a=0.1,0.721831,0.463415,0.258416,0.106338,0.253659,0.147321,0.131312
mlp_layers=8x8_act=tanh_alpha=0.0001,torch_mlp,"(8, 8)",2,8,tanh,0.0001,torch_lbfgs,215,30,3,347,347.0,37,torch mlp 8x8 tanh a=0.0001,0.746479,0.463415,0.283064,0.087324,0.276423,0.189099,0.143448
mlp_layers=8x8_act=tanh_alpha=0.001,torch_mlp,"(8, 8)",2,8,tanh,0.001,torch_lbfgs,215,30,3,347,347.0,38,torch mlp 8x8 tanh a=0.001,0.735915,0.471545,0.26437,0.090845,0.278049,0.187204,0.142965
mlp_layers=8x8_act=tanh_alpha=0.01,torch_mlp,"(8, 8)",2,8,tanh,0.01,torch_lbfgs,215,30,3,347,347.0,39,torch mlp 8x8 tanh a=0.01,0.721831,0.422764,0.299067,0.092606,0.307317,0.214711,0.143694
mlp_layers=8x8_act=tanh_alpha=0.1,torch_mlp,"(8, 8)",2,8,tanh,0.1,torch_lbfgs,215,30,3,347,347.0,40,torch mlp 8x8 tanh a=0.1,0.705986,0.365854,0.340132,0.101761,0.330081,0.22832,0.142867
mlp_layers=16x16_act=relu_alpha=0.0001,torch_mlp,"(16, 16)",2,16,relu,0.0001,torch_lbfgs,215,30,3,819,819.0,41,torch mlp 16x16 relu a=0.0001,0.786972,0.455285,0.331687,0.064437,0.265041,0.200604,0.132945
mlp_layers=16x16_act=relu_alpha=0.001,torch_mlp,"(16, 16)",2,16,relu,0.001,torch_lbfgs,215,30,3,819,819.0,42,torch mlp 16x16 relu a=0.001,0.78169,0.528455,0.253235,0.065845,0.256911,0.191066,0.133163
mlp_layers=16x16_act=relu_alpha=0.01,torch_mlp,"(16, 16)",2,16,relu,0.01,torch_lbfgs,215,30,3,819,819.0,43,torch mlp 16x16 relu a=0.01,0.792254,0.357724,0.43453,0.062324,0.328455,0.266131,0.132673
mlp_layers=16x16_act=relu_alpha=0.1,torch_mlp,"(16, 16)",2,16,relu,0.1,torch_lbfgs,215,30,3,819,819.0,44,torch mlp 16x16 relu a=0.1,0.799296,0.398374,0.400922,0.062676,0.292683,0.230007,0.132748
mlp_layers=16x16_act=tanh_alpha=0.0001,torch_mlp,"(16, 16)",2,16,tanh,0.0001,torch_lbfgs,215,30,3,819,819.0,45,torch mlp 16x16 tanh a=0.0001,0.889085,0.430894,0.458191,0.033099,0.294309,0.26121,0.147609
mlp_layers=16x16_act=tanh_alpha=0.001,torch_mlp,"(16, 16)",2,16,tanh,0.001,torch_lbfgs,215,30,3,819,819.0,46,torch mlp 16x16 tanh a=0.001,0.885563,0.430894,0.454669,0.030634,0.300813,0.270179,0.147108
mlp_layers=16x16_act=tanh_alpha=0.01,torch_mlp,"(16, 16)",2,16,tanh,0.01,torch_lbfgs,215,30,3,819,819.0,47,torch mlp 16x16 tanh a=0.01,0.885563,0.390244,0.495319,0.030282,0.320325,0.290043,0.147188
mlp_layers=16x16_act=tanh_alpha=0.1,torch_mlp,"(16, 16)",2,16,tanh,0.1,torch_lbfgs,215,30,3,819,819.0,48,torch mlp 16x16 tanh a=0.1,0.869718,0.471545,0.398173,0.034155,0.276423,0.242268,0.145839
mlp_layers=32x16_act=relu_alpha=0.0001,torch_mlp,"(32, 16)",2,32,relu,0.0001,torch_lbfgs,215,30,3,1571,1571.0,49,torch mlp 32x16 relu a=0.0001,0.957746,0.487805,0.469941,0.009859,0.271545,0.261686,0.1402
