model,reasoning_acc,dim,dim_name,emergent,auc_ability,normalized_ability
Human,0.8075,VL,Visual Localization and Grounding,yes,3.8947,2.9731
Human,0.8075,AS,Attention and Scan,no,4.0059,3.0330
Human,0.8075,MCr,Identifying Relevant Information,no,3.6226,2.9133
Human,0.8075,MCu,Calibrating Knowns and Unknowns,no,3.7374,2.6874
Human,0.8075,MA,Multi-Element Visual Aggregation,yes,4.0255,2.6766
Human,0.8075,VO,Volume,no,3.5067,2.8181
Human,0.8075,AT,Atypicality,no,4.0098,2.8952
Human,0.8075,GS,Gestalt and Shape Judgment,yes,4.0430,2.5054
Human,0.8075,QLl,Logical Reasoning,no,3.5990,2.7744
Human,0.8075,KNf,Formal Sciences,no,4.0850,2.5623
Human,0.8075,QLq,Quantitative Reasoning,no,3.9499,2.6021
Human,0.8075,CL,"Conceptualisation, Learning, and Abstraction",no,3.9174,2.5747
Claude-3-5-Sonnet,0.6100,VL,Visual Localization and Grounding,yes,2.8953,2.6479
Claude-3-5-Sonnet,0.6100,AS,Attention and Scan,no,3.0550,2.8171
Claude-3-5-Sonnet,0.6100,MCr,Identifying Relevant Information,no,2.5258,2.5104
Claude-3-5-Sonnet,0.6100,MCu,Calibrating Knowns and Unknowns,no,1.8832,2.2263
Claude-3-5-Sonnet,0.6100,MA,Multi-Element Visual Aggregation,yes,3.0246,2.5899
Claude-3-5-Sonnet,0.6100,VO,Volume,no,2.1427,2.3354
Claude-3-5-Sonnet,0.6100,AT,Atypicality,no,3.0462,2.6680
Claude-3-5-Sonnet,0.6100,GS,Gestalt and Shape Judgment,yes,3.1013,2.5129
Claude-3-5-Sonnet,0.6100,QLl,Logical Reasoning,no,2.5117,2.5028
Claude-3-5-Sonnet,0.6100,KNf,Formal Sciences,no,2.9814,2.5172
Claude-3-5-Sonnet,0.6100,QLq,Quantitative Reasoning,no,3.0955,2.5153
Claude-3-5-Sonnet,0.6100,CL,"Conceptualisation, Learning, and Abstraction",no,2.2451,2.4400
GPT-4o,0.4863,VL,Visual Localization and Grounding,yes,2.3261,2.4378
GPT-4o,0.4863,AS,Attention and Scan,no,2.5609,2.5360
GPT-4o,0.4863,MCr,Identifying Relevant Information,no,1.9124,2.2335
GPT-4o,0.4863,MCu,Calibrating Knowns and Unknowns,no,1.1582,1.7297
GPT-4o,0.4863,MA,Multi-Element Visual Aggregation,yes,2.4125,2.4890
GPT-4o,0.4863,VO,Volume,no,1.4626,1.8865
GPT-4o,0.4863,AT,Atypicality,no,2.4828,2.4920
GPT-4o,0.4863,GS,Gestalt and Shape Judgment,yes,2.5761,2.5043
