candidate_id,kind,n_estimators,max_depth,learning_rate,subsample,colsample_bytree,reg_lambda,reg_alpha,seed,complexity_score,complexity_order,complexity_label,train_top1_hit_rate,validation_top1_hit_rate,top1_hit_rate_gap,train_mean_regret,validation_mean_regret,mean_regret_gap
xgb_n=50_depth=1_lr=0.03_sub=1.0_col=1.0_l2=5.0_l1=0.1,xgboost,50,1,0.03,1.0,1.0,5.0,0.1,215,50.0,22,50 trees d=1,0.522887,0.487805,0.035082,0.223592,0.24878,0.025188
xgb_n=50_depth=1_lr=0.03_sub=1.0_col=1.0_l2=10.0_l1=0.0,xgboost,50,1,0.03,1.0,1.0,10.0,0.0,215,50.0,23,50 trees d=1,0.522887,0.487805,0.035082,0.222887,0.247154,0.024267
xgb_n=50_depth=1_lr=0.03_sub=1.0_col=1.0_l2=10.0_l1=0.1,xgboost,50,1,0.03,1.0,1.0,10.0,0.1,215,50.0,24,50 trees d=1,0.526408,0.487805,0.038603,0.220423,0.247154,0.026731
xgb_n=50_depth=1_lr=0.05_sub=0.8_col=0.8_l2=1.0_l1=0.0,xgboost,50,1,0.05,0.8,0.8,1.0,0.0,215,50.0,25,50 trees d=1,0.538732,0.520325,0.018407,0.2,0.235772,0.035772
xgb_n=50_depth=1_lr=0.05_sub=0.8_col=0.8_l2=1.0_l1=0.1,xgboost,50,1,0.05,0.8,0.8,1.0,0.1,215,50.0,26,50 trees d=1,0.544014,0.528455,0.015559,0.198592,0.227642,0.02905
xgb_n=50_depth=1_lr=0.05_sub=0.8_col=0.8_l2=5.0_l1=0.0,xgboost,50,1,0.05,0.8,0.8,5.0,0.0,215,50.0,27,50 trees d=1,0.536972,0.520325,0.016647,0.204577,0.22439,0.019813
xgb_n=50_depth=1_lr=0.05_sub=0.8_col=0.8_l2=5.0_l1=0.1,xgboost,50,1,0.05,0.8,0.8,5.0,0.1,215,50.0,28,50 trees d=1,0.536972,0.536585,0.000387,0.203873,0.219512,0.015639
xgb_n=50_depth=1_lr=0.05_sub=0.8_col=0.8_l2=10.0_l1=0.0,xgboost,50,1,0.05,0.8,0.8,10.0,0.0,215,50.0,29,50 trees d=1,0.53169,0.528455,0.003235,0.208451,0.226016,0.017565
xgb_n=50_depth=1_lr=0.05_sub=0.8_col=0.8_l2=10.0_l1=0.1,xgboost,50,1,0.05,0.8,0.8,10.0,0.1,215,50.0,30,50 trees d=1,0.533451,0.536585,-0.003134,0.210563,0.217886,0.007323
xgb_n=50_depth=1_lr=0.05_sub=0.8_col=1.0_l2=1.0_l1=0.0,xgboost,50,1,0.05,0.8,1.0,1.0,0.0,215,50.0,31,50 trees d=1,0.538732,0.544715,-0.005983,0.205282,0.221138,0.015856
xgb_n=50_depth=1_lr=0.05_sub=0.8_col=1.0_l2=1.0_l1=0.1,xgboost,50,1,0.05,0.8,1.0,1.0,0.1,215,50.0,32,50 trees d=1,0.544014,0.528455,0.015559,0.199648,0.23252,0.032872
xgb_n=50_depth=1_lr=0.05_sub=0.8_col=1.0_l2=5.0_l1=0.0,xgboost,50,1,0.05,0.8,1.0,5.0,0.0,215,50.0,33,50 trees d=1,0.544014,0.520325,0.023689,0.200704,0.234146,0.033442
xgb_n=50_depth=1_lr=0.05_sub=0.8_col=1.0_l2=5.0_l1=0.1,xgboost,50,1,0.05,0.8,1.0,5.0,0.1,215,50.0,34,50 trees d=1,0.544014,0.520325,0.023689,0.202817,0.23252,0.029703
xgb_n=50_depth=1_lr=0.05_sub=0.8_col=1.0_l2=10.0_l1=0.0,xgboost,50,1,0.05,0.8,1.0,10.0,0.0,215,50.0,35,50 trees d=1,0.540493,0.512195,0.028298,0.206338,0.237398,0.03106
