target,model,feature,importance
acc_kimi_vl_a3b,kimi_vl_a3b,claim_char_count,0.17193938791751862
acc_kimi_vl_a3b,kimi_vl_a3b,context_char_count,0.165159672498703
acc_kimi_vl_a3b,kimi_vl_a3b,caption_char_count,0.14527273178100586
acc_kimi_vl_a3b,kimi_vl_a3b,dim_GS,0.1386881172657013
acc_kimi_vl_a3b,kimi_vl_a3b,dim_MCu,0.1373482048511505
acc_kimi_vl_a3b,kimi_vl_a3b,claim_numeric_token_count,0.12653042376041412
acc_kimi_vl_a3b,kimi_vl_a3b,image_height,0.11506148427724838
acc_kimi_vl_a3b,kimi_vl_a3b,dim_AS,0.0
acc_kimi_vl_a3b,kimi_vl_a3b,dim_AT,0.0
acc_kimi_vl_a3b,kimi_vl_a3b,dim_MCr,0.0
acc_kimi_vl_a3b,kimi_vl_a3b,dim_QLl,0.0
acc_kimi_vl_a3b,kimi_vl_a3b,dim_QLq,0.0
acc_kimi_vl_a3b,kimi_vl_a3b,dim_VO,0.0
acc_kimi_vl_a3b,kimi_vl_a3b,dim_CL,0.0
acc_kimi_vl_a3b,kimi_vl_a3b,dim_KNf,0.0
acc_kimi_vl_a3b,kimi_vl_a3b,dim_MA,0.0
acc_kimi_vl_a3b,kimi_vl_a3b,dim_VL,0.0
acc_kimi_vl_a3b,kimi_vl_a3b,claim_word_count,0.0
acc_kimi_vl_a3b,kimi_vl_a3b,caption_word_count,0.0
acc_kimi_vl_a3b,kimi_vl_a3b,caption_numeric_token_count,0.0
acc_kimi_vl_a3b,kimi_vl_a3b,claim_percent_count,0.0
acc_kimi_vl_a3b,kimi_vl_a3b,caption_percent_count,0.0
acc_kimi_vl_a3b,kimi_vl_a3b,claim_math_symbol_count,0.0
acc_kimi_vl_a3b,kimi_vl_a3b,caption_math_symbol_count,0.0
acc_kimi_vl_a3b,kimi_vl_a3b,image_width,0.0
acc_kimi_vl_a3b,kimi_vl_a3b,image_aspect_ratio,0.0
acc_kimi_vl_a3b,kimi_vl_a3b,claim_type_analytical,0.0
acc_kimi_vl_a3b,kimi_vl_a3b,claim_type_direct,0.0
