n_models_correct,n_items
0,16
1,60
2,54
3,68
4,52
5,64
6,52
7,61
8,47
9,43
10,44
11,41
12,26
13,36
14,38
15,30
16,26
17,33
18,20
19,25
20,19
21,19
22,16
23,16
24,15
25,19
26,14
27,6
28,6
29,5
30,9
31,3
32,5
33,5
34,3
35,1
36,3
37,0
38,0
39,0
