dim_code,mean_refuted,mean_entailed,delta,n_refuted,n_entailed,mwu_p_refuted_gt_entailed,rank_biserial
AT,3.206,3.191,0.015,408,409,0.32651,0.013
VO,1.598,1.619,-0.021,408,409,0.72511,-0.02
