dim_code,n,mean,sd,min,max,sensitive,flat
AS,817,2.619,0.527,1,4,False,True
QLq,817,2.234,0.615,0,4,False,True
QLl,817,1.956,0.863,1,4,False,True
MCr,817,2.258,0.731,0,4,False,True
AT,817,3.198,0.451,2,5,False,True
VO,817,1.608,0.493,1,3,False,True
