item_id,n_models_correct
charxiv_val_1093,36
charxiv_val_1555,36
charxiv_val_1976,36
charxiv_val_219,35
charxiv_val_2157,34
charxiv_val_2314,34
charxiv_val_354,34
charxiv_val_1022,33
charxiv_val_1266,33
charxiv_val_1330,33
charxiv_val_1469,33
charxiv_val_1774,33
charxiv_val_1074,32
charxiv_val_1415,32
charxiv_val_1763,32
charxiv_val_2245,32
charxiv_val_449,32
charxiv_val_1696,31
charxiv_val_2100,31
charxiv_val_2181,31
charxiv_val_1181,30
charxiv_val_1182,30
charxiv_val_1334,30
charxiv_val_1342,30
charxiv_val_1461,30
charxiv_val_1559,30
charxiv_val_1980,30
charxiv_val_2236,30
charxiv_val_391,30
charxiv_val_1219,29
charxiv_val_1281,29
charxiv_val_1917,29
charxiv_val_2035,29
charxiv_val_646,29
charxiv_val_1520,28
charxiv_val_1753,28
charxiv_val_2001,28
charxiv_val_51,28
charxiv_val_722,28
charxiv_val_749,28
charxiv_val_1147,27
charxiv_val_1332,27
charxiv_val_1524,27
charxiv_val_248,27
charxiv_val_894,27
charxiv_val_911,27
charxiv_val_1038,26
charxiv_val_1081,26
charxiv_val_1137,26
charxiv_val_1597,26
charxiv_val_1658,26
charxiv_val_1908,26
charxiv_val_20,26
charxiv_val_2119,26
charxiv_val_2221,26
charxiv_val_2346,26
charxiv_val_27,26
charxiv_val_468,26
charxiv_val_608,26
charxiv_val_659,26
charxiv_val_108,25
charxiv_val_1131,25
charxiv_val_1225,25
charxiv_val_1259,25
charxiv_val_1346,25
charxiv_val_1454,25
charxiv_val_1654,25
charxiv_val_1765,25
charxiv_val_1954,25
charxiv_val_2009,25
charxiv_val_2390,25
charxiv_val_255,25
charxiv_val_311,25
charxiv_val_474,25
charxiv_val_668,25
charxiv_val_764,25
charxiv_val_805,25
charxiv_val_917,25
charxiv_val_986,25
charxiv_val_113,24
charxiv_val_1608,24
charxiv_val_1649,24
charxiv_val_1668,24
charxiv_val_2056,24
charxiv_val_367,24
charxiv_val_374,24
charxiv_val_445,24
charxiv_val_499,24
charxiv_val_550,24
charxiv_val_552,24
charxiv_val_777,24
charxiv_val_80,24
charxiv_val_81,24
charxiv_val_937,24
charxiv_val_1123,23
charxiv_val_1222,23
charxiv_val_1294,23
charxiv_val_1352,23
charxiv_val_1505,23
charxiv_val_1673,23
charxiv_val_1701,23
charxiv_val_1955,23
charxiv_val_2055,23
charxiv_val_411,23
charxiv_val_440,23
charxiv_val_588,23
charxiv_val_603,23
charxiv_val_679,23
charxiv_val_694,23
charxiv_val_8,23
charxiv_val_1164,22
charxiv_val_124,22
charxiv_val_1262,22
charxiv_val_1438,22
charxiv_val_1496,22
charxiv_val_1600,22
charxiv_val_1785,22
charxiv_val_1818,22
charxiv_val_1841,22
charxiv_val_1925,22
charxiv_val_1987,22
charxiv_val_346,22
charxiv_val_389,22
charxiv_val_703,22
charxiv_val_723,22
charxiv_val_863,22
charxiv_val_1048,21
charxiv_val_1096,21
charxiv_val_1609,21
charxiv_val_1702,21
charxiv_val_1969,21
charxiv_val_2133,21
charxiv_val_2321,21
charxiv_val_246,21
charxiv_val_285,21
charxiv_val_314,21
charxiv_val_433,21
charxiv_val_475,21
charxiv_val_488,21
charxiv_val_708,21
charxiv_val_809,21
charxiv_val_852,21
charxiv_val_861,21
charxiv_val_954,21
charxiv_val_996,21
charxiv_val_1039,20
charxiv_val_1223,20
charxiv_val_1231,20
charxiv_val_1265,20
charxiv_val_1416,20
charxiv_val_1432,20
charxiv_val_157,20
charxiv_val_2114,20
charxiv_val_2203,20
charxiv_val_2252,20
charxiv_val_2293,20
charxiv_val_2310,20
charxiv_val_452,20
charxiv_val_506,20
charxiv_val_527,20
charxiv_val_548,20
charxiv_val_581,20
charxiv_val_660,20
charxiv_val_739,20
charxiv_val_1085,19
charxiv_val_1153,19
charxiv_val_1160,19
charxiv_val_1184,19
charxiv_val_1288,19
charxiv_val_1306,19
charxiv_val_1369,19
charxiv_val_1618,19
charxiv_val_1788,19
charxiv_val_1848,19
charxiv_val_1900,19
charxiv_val_2090,19
charxiv_val_252,19
charxiv_val_256,19
charxiv_val_328,19
charxiv_val_372,19
charxiv_val_451,19
charxiv_val_575,19
charxiv_val_591,19
charxiv_val_732,19
charxiv_val_787,19
charxiv_val_924,19
charxiv_val_949,19
charxiv_val_966,19
charxiv_val_995,19
charxiv_val_1007,18
charxiv_val_1067,18
charxiv_val_1229,18
charxiv_val_1305,18
charxiv_val_132,18
charxiv_val_1421,18
charxiv_val_1815,18
charxiv_val_1998,18
charxiv_val_211,18
charxiv_val_2201,18
charxiv_val_2234,18
charxiv_val_263,18
charxiv_val_379,18
charxiv_val_53,18
charxiv_val_685,18
charxiv_val_711,18
charxiv_val_882,18
charxiv_val_927,18
charxiv_val_974,18
charxiv_val_975,18
charxiv_val_1026,17
charxiv_val_1034,17
charxiv_val_1036,17
charxiv_val_110,17
charxiv_val_1106,17
charxiv_val_1126,17
charxiv_val_1132,17
charxiv_val_1235,17
charxiv_val_1297,17
charxiv_val_1514,17
charxiv_val_1585,17
charxiv_val_1650,17
charxiv_val_1662,17
charxiv_val_1865,17
charxiv_val_1880,17
charxiv_val_1986,17
charxiv_val_2000,17
charxiv_val_2050,17
charxiv_val_2187,17
charxiv_val_2246,17
charxiv_val_2307,17
charxiv_val_2336,17
charxiv_val_236,17
charxiv_val_2372,17
charxiv_val_2394,17
charxiv_val_3,17
charxiv_val_431,17
charxiv_val_48,17
charxiv_val_514,17
charxiv_val_592,17
charxiv_val_701,17
charxiv_val_888,17
charxiv_val_932,17
charxiv_val_1030,16
charxiv_val_104,16
charxiv_val_1186,16
charxiv_val_1188,16
charxiv_val_1286,16
charxiv_val_135,16
charxiv_val_1397,16
charxiv_val_1463,16
charxiv_val_1481,16
charxiv_val_1485,16
charxiv_val_1634,16
charxiv_val_1686,16
charxiv_val_1857,16
charxiv_val_215,16
charxiv_val_2177,16
charxiv_val_2271,16
charxiv_val_2338,16
charxiv_val_240,16
charxiv_val_292,16
charxiv_val_395,16
charxiv_val_412,16
charxiv_val_580,16
charxiv_val_706,16
charxiv_val_745,16
charxiv_val_925,16
charxiv_val_953,16
charxiv_val_1011,15
charxiv_val_1012,15
charxiv_val_1043,15
charxiv_val_1108,15
charxiv_val_1138,15
charxiv_val_1177,15
charxiv_val_1224,15
charxiv_val_1405,15
charxiv_val_1536,15
charxiv_val_1646,15
charxiv_val_1677,15
charxiv_val_1725,15
charxiv_val_1729,15
charxiv_val_1733,15
charxiv_val_1760,15
charxiv_val_1897,15
charxiv_val_1959,15
charxiv_val_196,15
charxiv_val_210,15
charxiv_val_2112,15
charxiv_val_2140,15
charxiv_val_2191,15
charxiv_val_2373,15
charxiv_val_362,15
charxiv_val_649,15
charxiv_val_812,15
charxiv_val_813,15
charxiv_val_903,15
charxiv_val_913,15
charxiv_val_92,15
charxiv_val_1115,14
charxiv_val_1326,14
charxiv_val_1401,14
charxiv_val_1417,14
charxiv_val_1456,14
charxiv_val_1601,14
charxiv_val_1628,14
charxiv_val_180,14
charxiv_val_1873,14
charxiv_val_1914,14
charxiv_val_2148,14
charxiv_val_2257,14
charxiv_val_2355,14
charxiv_val_2366,14
charxiv_val_239,14
charxiv_val_2399,14
charxiv_val_319,14
charxiv_val_409,14
charxiv_val_422,14
charxiv_val_458,14
charxiv_val_462,14
charxiv_val_463,14
charxiv_val_473,14
charxiv_val_484,14
charxiv_val_5,14
charxiv_val_537,14
charxiv_val_565,14
charxiv_val_595,14
charxiv_val_60,14
charxiv_val_620,14
charxiv_val_650,14
charxiv_val_770,14
charxiv_val_810,14
charxiv_val_833,14
charxiv_val_891,14
charxiv_val_897,14
charxiv_val_923,14
charxiv_val_967,14
charxiv_val_1003,13
charxiv_val_1124,13
charxiv_val_1284,13
charxiv_val_1314,13
charxiv_val_1339,13
charxiv_val_134,13
charxiv_val_1351,13
charxiv_val_1473,13
charxiv_val_1489,13
charxiv_val_1532,13
charxiv_val_1558,13
charxiv_val_1581,13
charxiv_val_159,13
charxiv_val_1605,13
charxiv_val_1717,13
charxiv_val_1826,13
charxiv_val_1833,13
charxiv_val_1918,13
charxiv_val_1939,13
charxiv_val_2122,13
charxiv_val_2124,13
charxiv_val_2329,13
charxiv_val_2380,13
charxiv_val_243,13
charxiv_val_288,13
charxiv_val_330,13
charxiv_val_559,13
charxiv_val_593,13
charxiv_val_658,13
charxiv_val_7,13
charxiv_val_75,13
charxiv_val_84,13
charxiv_val_878,13
charxiv_val_880,13
charxiv_val_952,13
charxiv_val_988,13
charxiv_val_1208,12
charxiv_val_1391,12
charxiv_val_1590,12
charxiv_val_1786,12
charxiv_val_1895,12
charxiv_val_1970,12
charxiv_val_2145,12
charxiv_val_2195,12
charxiv_val_2287,12
charxiv_val_2330,12
charxiv_val_2365,12
charxiv_val_2371,12
charxiv_val_2391,12
charxiv_val_2396,12
charxiv_val_279,12
charxiv_val_298,12
charxiv_val_358,12
charxiv_val_36,12
charxiv_val_487,12
charxiv_val_513,12
charxiv_val_515,12
charxiv_val_517,12
charxiv_val_678,12
charxiv_val_690,12
charxiv_val_822,12
charxiv_val_907,12
charxiv_val_1010,11
charxiv_val_1015,11
charxiv_val_1136,11
charxiv_val_1190,11
charxiv_val_1197,11
charxiv_val_1199,11
charxiv_val_1258,11
charxiv_val_1268,11
charxiv_val_1289,11
charxiv_val_1307,11
charxiv_val_1322,11
charxiv_val_1464,11
charxiv_val_1493,11
charxiv_val_1624,11
charxiv_val_1684,11
charxiv_val_1704,11
charxiv_val_1887,11
charxiv_val_1916,11
charxiv_val_2004,11
charxiv_val_2071,11
charxiv_val_2093,11
charxiv_val_2129,11
charxiv_val_2147,11
charxiv_val_2198,11
charxiv_val_225,11
charxiv_val_2289,11
charxiv_val_2313,11
