run_label,model_family,feature_set,selection_policy,torch_dtype,effective_device,requested_device,mps_available,training_seconds,runtime_fallback_reason,model_dir,rows,test_rows,selected_candidate_id,test_top1_hit_rate,test_mean_regret,test_median_regret,top1_p025,top1_p975,mean_regret_p025,mean_regret_p975
xgboost_chart_tda_top1_first,xgboost,base_tda,top1_first,,,,,,,Data/derived/model_router/public_router/runs/top1_first/xgboost_chart_tda,811,120,xgb_n=200_depth=3_lr=0.05_sub=1.0_col=1.0_l2=5.0_l1=0.0,0.491667,0.243333,0.2,0.40495375836284925,0.5840694214876032,0.19333193277310926,0.29655318527177094
ridge_elasticnet_base_top1_first,ridge_elasticnet,base,top1_first,,,,,,,Data/derived/model_router/public_router/runs/top1_first/ridge_elasticnet_base,811,120,ridge_alpha=0.1,0.466667,0.256667,0.2,0.37389061421670117,0.5690270935960591,0.2,0.317649430740038
xgboost_base_top1_first,xgboost,base,top1_first,,,,,,,Data/derived/model_router/public_router/runs/top1_first/xgboost_base,811,120,xgb_n=50_depth=1_lr=0.05_sub=1.0_col=1.0_l2=10.0_l1=0.0,0.475,0.27,0.2,0.393125,0.5583513779527559,0.22000000000000006,0.32613536613536614
torch_mlp_chart_tda_top1_first,torch_mlp,base_tda,top1_first,float32,cpu,auto,False,150.12711,,Data/derived/model_router/public_router/runs/top1_first/torch_mlp_chart_tda,811,120,mlp_layers=8_act=tanh_alpha=0.001,0.466667,0.27,0.2,0.375,0.5528899364623898,0.2083656911040278,0.33223207144761396
xgboost_chart_tda_claim_nlp_top1_first,xgboost,base_tda_nlp,top1_first,,,,,,,Data/derived/model_router/public_router/runs/top1_first/xgboost_chart_tda_claim_nlp,811,120,xgb_n=50_depth=3_lr=0.03_sub=1.0_col=1.0_l2=10.0_l1=0.1,0.441667,0.28,0.2,0.3577090592334495,0.5322712850343733,0.22762086236933798,0.3345265108539445
xgboost_claim_nlp_top1_first,xgboost,base_nlp,top1_first,,,,,,,Data/derived/model_router/public_router/runs/top1_first/xgboost_claim_nlp,811,120,xgb_n=200_depth=3_lr=0.1_sub=1.0_col=1.0_l2=10.0_l1=0.1,0.466667,0.283333,0.2,0.3790322580645161,0.5517241379310345,0.22764087468460892,0.33760537815126046
ridge_elasticnet_claim_nlp_top1_first,ridge_elasticnet,base_nlp,top1_first,,,,,,,Data/derived/model_router/public_router/runs/top1_first/ridge_elasticnet_claim_nlp,811,120,elasticnet_alpha=1.0_l1=0.1,0.408333,0.305,0.2,0.31530644818046394,0.5,0.24477756097560976,0.36837499999999995
ridge_elasticnet_chart_tda_claim_nlp_top1_first,ridge_elasticnet,base_tda_nlp,top1_first,,,,,,,Data/derived/model_router/public_router/runs/top1_first/ridge_elasticnet_chart_tda_claim_nlp,811,120,elasticnet_alpha=1.0_l1=0.1,0.408333,0.305,0.2,0.31530644818046394,0.5,0.24477756097560976,0.36837499999999995
torch_mlp_chart_tda_claim_nlp_top1_first,torch_mlp,base_tda_nlp,top1_first,float32,cpu,auto,False,153.033959,,Data/derived/model_router/public_router/runs/top1_first/torch_mlp_chart_tda_claim_nlp,811,120,mlp_layers=32x16_act=tanh_alpha=0.01,0.416667,0.316667,0.2,0.324780701754386,0.503880695783702,0.25832661290322584,0.3743697478991597
torch_mlp_claim_nlp_top1_first,torch_mlp,base_nlp,top1_first,float32,cpu,auto,False,137.634716,,Data/derived/model_router/public_router/runs/top1_first/torch_mlp_claim_nlp,811,120,mlp_layers=32x16_act=relu_alpha=0.1,0.391667,0.32,0.2,0.30578512396694213,0.4758160522273426,0.2666666666666668,0.37167934782608697
ridge_elasticnet_chart_tda_top1_first,ridge_elasticnet,base_tda,top1_first,,,,,,,Data/derived/model_router/public_router/runs/top1_first/ridge_elasticnet_chart_tda,811,120,ridge_alpha=100.0,0.375,0.325,0.2,0.2868559718969555,0.46825933075933074,0.26450158646218935,0.3839263674614305
torch_mlp_base_top1_first,torch_mlp,base,top1_first,float32,cpu,auto,False,131.224716,,Data/derived/model_router/public_router/runs/top1_first/torch_mlp_base,811,120,mlp_layers=32x32_act=relu_alpha=0.001,0.358333,0.331667,0.2,0.27497983870967746,0.4444444444444444,0.2764227642276423,0.3860986481549142
