replicate,rows,unique_groups,top1_hit_rate,mean_regret,median_regret
1,123,55,0.4146341463414634,0.32032520325203245,0.2
2,114,59,0.43859649122807015,0.2771929824561404,0.2
3,120,56,0.35,0.325,0.2
4,128,56,0.359375,0.359375,0.4
5,116,54,0.3879310344827586,0.37758620689655176,0.4
6,116,54,0.33620689655172414,0.3431034482758621,0.2
7,122,54,0.38524590163934425,0.2967213114754098,0.2
8,116,59,0.3275862068965517,0.3741379310344829,0.2
9,111,58,0.3333333333333333,0.30990990990990996,0.2
10,114,65,0.38596491228070173,0.3140350877192983,0.2
11,122,51,0.3360655737704918,0.33278688524590166,0.2
12,123,54,0.3821138211382114,0.35772357723577236,0.2
13,108,55,0.3888888888888889,0.3111111111111111,0.2
14,114,55,0.40350877192982454,0.33157894736842103,0.2
15,116,56,0.3275862068965517,0.3517241379310345,0.2
16,120,54,0.45,0.3,0.2
17,122,62,0.4426229508196721,0.26229508196721313,0.2
18,126,56,0.36507936507936506,0.31904761904761914,0.2
19,117,55,0.452991452991453,0.2837606837606838,0.2
20,125,60,0.376,0.30560000000000004,0.2
21,125,50,0.312,0.35359999999999997,0.2
22,125,60,0.416,0.32,0.2
23,126,58,0.35714285714285715,0.326984126984127,0.2
24,116,56,0.43103448275862066,0.303448275862069,0.2
25,120,53,0.36666666666666664,0.30666666666666664,0.2
26,129,57,0.3798449612403101,0.34108527131782945,0.2
27,125,55,0.304,0.36640000000000006,0.4
28,112,54,0.5,0.22500000000000003,0.1
29,123,55,0.3089430894308943,0.3479674796747968,0.2
30,123,59,0.3983739837398374,0.32195121951219513,0.2
31,123,59,0.3170731707317073,0.375609756097561,0.4
32,119,58,0.42016806722689076,0.3226890756302522,0.2
33,120,56,0.38333333333333336,0.3416666666666667,0.2
34,122,61,0.32786885245901637,0.35737704918032787,0.2
35,123,56,0.3170731707317073,0.3528455284552846,0.2
36,112,57,0.4375,0.3071428571428572,0.2
37,115,59,0.3391304347826087,0.33391304347826084,0.2
38,113,57,0.3893805309734513,0.3327433628318584,0.2
39,118,58,0.3983050847457627,0.31694915254237294,0.2
40,119,59,0.4369747899159664,0.2806722689075631,0.2
41,120,52,0.425,0.2866666666666667,0.2
42,116,61,0.3620689655172414,0.3172413793103449,0.2
43,121,53,0.5041322314049587,0.2743801652892562,0.0
44,126,53,0.3253968253968254,0.3333333333333333,0.2
45,121,59,0.4049586776859504,0.3173553719008264,0.2
46,119,61,0.3445378151260504,0.3361344537815127,0.2
47,116,60,0.3275862068965517,0.3086206896551725,0.2
