target,model,feature,coefficient,abs_coefficient
acc_kimi_vl_a3b,kimi_vl_a3b,tda_edge_h0_betti_max,0.008901135736617074,0.008901135736617074
acc_kimi_vl_a3b,kimi_vl_a3b,tda_gray_h0_p95_persistence,-0.008893434258217951,0.008893434258217951
acc_kimi_vl_a3b,kimi_vl_a3b,tda_gray_h1_betti_max,-0.008843176441134186,0.008843176441134186
acc_kimi_vl_a3b,kimi_vl_a3b,tda_gray_h0_entropy,-0.00856481773964929,0.00856481773964929
acc_kimi_vl_a3b,kimi_vl_a3b,tda_edge_euler_area,-0.0085610113015682,0.0085610113015682
acc_kimi_vl_a3b,kimi_vl_a3b,tda_edge_h0_betti_area,-0.008548508334986106,0.008548508334986106
acc_kimi_vl_a3b,kimi_vl_a3b,tda_edge_euler_mean,-0.008534873503152664,0.008534873503152664
acc_kimi_vl_a3b,kimi_vl_a3b,tda_edge_h0_betti_mean,-0.008526697112198176,0.008526697112198176
acc_kimi_vl_a3b,kimi_vl_a3b,tda_gray_h0_interval_count,0.008384130332272598,0.008384130332272598
acc_kimi_vl_a3b,kimi_vl_a3b,tda_gray_h0_finite_count,0.008384130332272595,0.008384130332272595
acc_kimi_vl_a3b,kimi_vl_a3b,dim_KNf,-0.00803800006227844,0.00803800006227844
acc_kimi_vl_a3b,kimi_vl_a3b,tda_gray_h0_betti_max,0.007947900615843533,0.007947900615843533
acc_kimi_vl_a3b,kimi_vl_a3b,dim_AT,0.007504753827754532,0.007504753827754532
acc_kimi_vl_a3b,kimi_vl_a3b,tda_gray_h1_std_persistence,-0.006312687752870757,0.006312687752870757
acc_kimi_vl_a3b,kimi_vl_a3b,image_width,-0.006019826876462291,0.006019826876462291
acc_kimi_vl_a3b,kimi_vl_a3b,tda_resized_height,0.0059150629674644154,0.0059150629674644154
acc_kimi_vl_a3b,kimi_vl_a3b,tda_edge_h0_std_persistence,-0.005465555279265932,0.005465555279265932
acc_kimi_vl_a3b,kimi_vl_a3b,tda_edge_h1_max_persistence,-0.005422021098845135,0.005422021098845135
acc_kimi_vl_a3b,kimi_vl_a3b,dim_MCr,-0.005394654233802141,0.005394654233802141
acc_kimi_vl_a3b,kimi_vl_a3b,claim_numeric_token_count,-0.00505985558312311,0.00505985558312311
acc_kimi_vl_a3b,kimi_vl_a3b,claim_percent_count,-0.005031640830552189,0.005031640830552189
acc_kimi_vl_a3b,kimi_vl_a3b,tda_gray_h0_betti_argmax_threshold,-0.00501587594595506,0.00501587594595506
acc_kimi_vl_a3b,kimi_vl_a3b,tda_resized_width,-0.004969370638887921,0.004969370638887921
acc_kimi_vl_a3b,kimi_vl_a3b,tda_edge_h0_max_persistence,-0.004548105392466517,0.004548105392466517
acc_kimi_vl_a3b,kimi_vl_a3b,tda_edge_h1_betti_max,0.00452462443856025,0.00452462443856025
acc_kimi_vl_a3b,kimi_vl_a3b,caption_numeric_token_count,0.004522359015076902,0.004522359015076902
acc_kimi_vl_a3b,kimi_vl_a3b,tda_edge_h0_p95_persistence,0.004306046884236625,0.004306046884236625
acc_kimi_vl_a3b,kimi_vl_a3b,tda_gray_h1_betti_mean,-0.00420433500058917,0.00420433500058917
acc_kimi_vl_a3b,kimi_vl_a3b,tda_gray_euler_std,0.0038250243270016547,0.0038250243270016547
acc_kimi_vl_a3b,kimi_vl_a3b,tda_edge_h1_p90_persistence,-0.0038109471397398042,0.0038109471397398042
acc_kimi_vl_a3b,kimi_vl_a3b,tda_edge_h1_total_persistence,0.003331509300162085,0.003331509300162085
acc_kimi_vl_a3b,kimi_vl_a3b,tda_edge_h1_betti_change_count,0.0032757677109685563,0.0032757677109685563
acc_kimi_vl_a3b,kimi_vl_a3b,tda_gray_h1_betti_area,-0.0032613233784989652,0.0032613233784989652
acc_kimi_vl_a3b,kimi_vl_a3b,tda_gray_h0_mean_persistence,0.003190376283450783,0.003190376283450783
acc_kimi_vl_a3b,kimi_vl_a3b,tda_edge_h1_entropy,-0.0027145843761326818,0.0027145843761326818
acc_kimi_vl_a3b,kimi_vl_a3b,dim_VO,0.0023886480770989775,0.0023886480770989775
acc_kimi_vl_a3b,kimi_vl_a3b,tda_gray_h1_betti_change_count,-0.0023156996249377895,0.0023156996249377895
acc_kimi_vl_a3b,kimi_vl_a3b,caption_char_count,-0.002266619982167816,0.002266619982167816
acc_kimi_vl_a3b,kimi_vl_a3b,tda_gray_h1_interval_count,-0.0022596031771563844,0.0022596031771563844
acc_kimi_vl_a3b,kimi_vl_a3b,tda_gray_h1_finite_count,-0.0022596031771563827,0.0022596031771563827
acc_kimi_vl_a3b,kimi_vl_a3b,tda_gray_h1_total_persistence,0.0021509398007804057,0.0021509398007804057
acc_kimi_vl_a3b,kimi_vl_a3b,tda_gray_h1_betti_std,0.002122848343603138,0.002122848343603138
acc_kimi_vl_a3b,kimi_vl_a3b,tda_edge_h0_betti_std,-0.002098775605152706,0.002098775605152706
acc_kimi_vl_a3b,kimi_vl_a3b,dim_VL,-0.002018337619857627,0.002018337619857627
acc_kimi_vl_a3b,kimi_vl_a3b,tda_gray_h0_betti_mean,-0.0018302834553884208,0.0018302834553884208
acc_kimi_vl_a3b,kimi_vl_a3b,tda_gray_h0_p90_persistence,0.0015810342920332184,0.0015810342920332184
acc_kimi_vl_a3b,kimi_vl_a3b,tda_edge_h1_p95_persistence,-0.001371751940235358,0.001371751940235358
acc_kimi_vl_a3b,kimi_vl_a3b,tda_gray_euler_area,0.0013120211725120294,0.0013120211725120294
acc_kimi_vl_a3b,kimi_vl_a3b,tda_gray_h0_total_persistence,0.0011362534396496186,0.0011362534396496186
acc_kimi_vl_a3b,kimi_vl_a3b,tda_edge_h1_betti_mean,-0.000851401036924404,0.000851401036924404
acc_kimi_vl_a3b,kimi_vl_a3b,tda_edge_h1_betti_area,-0.0008514010369241645,0.0008514010369241645
acc_kimi_vl_a3b,kimi_vl_a3b,tda_gray_euler_mean,0.0007348639418112259,0.0007348639418112259
acc_kimi_vl_a3b,kimi_vl_a3b,tda_gray_h0_betti_area,-0.0006891531758310575,0.0006891531758310575
acc_kimi_vl_a3b,kimi_vl_a3b,tda_gray_h1_betti_argmax_threshold,-0.0006148228157124706,0.0006148228157124706
acc_kimi_vl_a3b,kimi_vl_a3b,tda_edge_euler_min,-0.00052324488032257,0.00052324488032257
acc_kimi_vl_a3b,kimi_vl_a3b,tda_edge_h0_essential_count,0.0,0.0
acc_kimi_vl_a3b,kimi_vl_a3b,tda_edge_h1_essential_count,0.0,0.0
acc_kimi_vl_a3b,kimi_vl_a3b,tda_gray_h0_essential_count,0.0,0.0
acc_kimi_vl_a3b,kimi_vl_a3b,tda_gray_h1_essential_count,0.0,0.0
acc_kimi_vl_a3b,kimi_vl_a3b,evidence_kind_single_chart,0.0,0.0
acc_kimi_vl_a3b,kimi_vl_a3b,vtype_chart,0.0,0.0
acc_pixtral12b,pixtral12b,caption_math_symbol_count,0.033750711436794985,0.033750711436794985
acc_pixtral12b,pixtral12b,tda_edge_h0_max_persistence,-0.028849535888219077,0.028849535888219077
acc_pixtral12b,pixtral12b,dim_AS,-0.025382836083985158,0.025382836083985158
acc_pixtral12b,pixtral12b,tda_gray_h1_entropy,0.025127241187201225,0.025127241187201225
acc_pixtral12b,pixtral12b,tda_gray_std,0.02495504073064397,0.02495504073064397
acc_pixtral12b,pixtral12b,caption_word_count,-0.024472354195752447,0.024472354195752447
acc_pixtral12b,pixtral12b,claim_char_count,0.023582070073175216,0.023582070073175216
acc_pixtral12b,pixtral12b,dim_MCu,-0.0235096585007917,0.0235096585007917
acc_pixtral12b,pixtral12b,tda_edge_std,-0.019707429078830253,0.019707429078830253
acc_pixtral12b,pixtral12b,tda_gray_euler_std,-0.018694351682178922,0.018694351682178922
acc_pixtral12b,pixtral12b,tda_edge_h1_betti_argmax_threshold,-0.01781456520303553,0.01781456520303553
acc_pixtral12b,pixtral12b,tda_gray_h0_betti_change_count,-0.017773039534295446,0.017773039534295446
acc_pixtral12b,pixtral12b,dim_QLl,-0.016987195975817156,0.016987195975817156
acc_pixtral12b,pixtral12b,dim_CL,0.01573941553516939,0.01573941553516939
acc_pixtral12b,pixtral12b,claim_math_symbol_count,-0.0153615753709254,0.0153615753709254
acc_pixtral12b,pixtral12b,tda_edge_mean,0.013969558819587431,0.013969558819587431
