candidate_id,kind,alpha,l1_ratio,seed,complexity_score,complexity_order,complexity_label,train_top1_hit_rate,validation_top1_hit_rate,top1_hit_rate_gap,train_mean_regret,validation_mean_regret,mean_regret_gap
ridge_alpha=100.0,ridge,100.0,,215,0.01,1,ridge a=100.0,0.575704,0.487805,0.087899,0.187676,0.258537,0.070861
ridge_alpha=10.0,ridge,10.0,,215,0.1,2,ridge a=10.0,0.59507,0.479675,0.115395,0.175704,0.274797,0.099093
ridge_alpha=1.0,ridge,1.0,,215,1.0,3,ridge a=1.0,0.619718,0.479675,0.140043,0.167254,0.265041,0.097787
ridge_alpha=0.1,ridge,0.1,,215,10.0,4,ridge a=0.1,0.617958,0.463415,0.154543,0.163732,0.269919,0.106187
ridge_alpha=0.01,ridge,0.01,,215,100.0,5,ridge a=0.01,0.619718,0.471545,0.148173,0.16338,0.261789,0.098409
elasticnet_alpha=1.0_l1=0.1,elasticnet,1.0,0.1,215,1.1,6,enet a=1.0 l1=0.1,0.503521,0.487805,0.015716,0.257746,0.269919,0.012173
elasticnet_alpha=1.0_l1=0.5,elasticnet,1.0,0.5,215,1.5,7,enet a=1.0 l1=0.5,0.503521,0.487805,0.015716,0.257746,0.269919,0.012173
elasticnet_alpha=1.0_l1=0.9,elasticnet,1.0,0.9,215,1.9,8,enet a=1.0 l1=0.9,0.503521,0.487805,0.015716,0.257746,0.269919,0.012173
elasticnet_alpha=0.1_l1=0.1,elasticnet,0.1,0.1,215,10.1,9,enet a=0.1 l1=0.1,0.551056,0.471545,0.079511,0.205986,0.278049,0.072063
elasticnet_alpha=0.1_l1=0.5,elasticnet,0.1,0.5,215,10.5,10,enet a=0.1 l1=0.5,0.503521,0.487805,0.015716,0.257746,0.269919,0.012173
elasticnet_alpha=0.1_l1=0.9,elasticnet,0.1,0.9,215,10.9,11,enet a=0.1 l1=0.9,0.503521,0.487805,0.015716,0.257746,0.269919,0.012173
elasticnet_alpha=0.01_l1=0.1,elasticnet,0.01,0.1,215,100.1,12,enet a=0.01 l1=0.1,0.59507,0.487805,0.107265,0.177817,0.265041,0.087224
elasticnet_alpha=0.01_l1=0.5,elasticnet,0.01,0.5,215,100.5,13,enet a=0.01 l1=0.5,0.558099,0.487805,0.070294,0.196831,0.273171,0.07634
elasticnet_alpha=0.01_l1=0.9,elasticnet,0.01,0.9,215,100.9,14,enet a=0.01 l1=0.9,0.559859,0.479675,0.080184,0.201761,0.274797,0.073036
elasticnet_alpha=0.001_l1=0.1,elasticnet,0.001,0.1,215,1000.1,15,enet a=0.001 l1=0.1,0.612676,0.487805,0.124871,0.169718,0.261789,0.092071
elasticnet_alpha=0.001_l1=0.5,elasticnet,0.001,0.5,215,1000.5,16,enet a=0.001 l1=0.5,0.602113,0.487805,0.114308,0.170423,0.265041,0.094618
elasticnet_alpha=0.001_l1=0.9,elasticnet,0.001,0.9,215,1000.9,17,enet a=0.001 l1=0.9,0.59507,0.495935,0.099135,0.174648,0.256911,0.082263
