model,group,dim_i,dim_j,tau_b
POOLED_ALL_MODELS,correct,VL,VL,1.0000
POOLED_ALL_MODELS,correct,VL,AS,0.3986
POOLED_ALL_MODELS,correct,VL,MCr,0.3330
POOLED_ALL_MODELS,correct,VL,MCu,0.2172
POOLED_ALL_MODELS,correct,VL,MA,0.3761
POOLED_ALL_MODELS,correct,VL,VO,0.2617
POOLED_ALL_MODELS,correct,VL,AT,0.1853
POOLED_ALL_MODELS,correct,VL,GS,-0.0288
POOLED_ALL_MODELS,correct,VL,QLl,0.2309
POOLED_ALL_MODELS,correct,VL,KNf,-0.0541
POOLED_ALL_MODELS,correct,VL,QLq,0.1167
POOLED_ALL_MODELS,correct,VL,CL,0.1035
POOLED_ALL_MODELS,correct,AS,VL,0.3986
POOLED_ALL_MODELS,correct,AS,AS,1.0000
POOLED_ALL_MODELS,correct,AS,MCr,0.4722
POOLED_ALL_MODELS,correct,AS,MCu,0.3551
POOLED_ALL_MODELS,correct,AS,MA,0.3553
POOLED_ALL_MODELS,correct,AS,VO,0.2742
POOLED_ALL_MODELS,correct,AS,AT,0.3504
POOLED_ALL_MODELS,correct,AS,GS,0.1493
POOLED_ALL_MODELS,correct,AS,QLl,0.2246
POOLED_ALL_MODELS,correct,AS,KNf,-0.0118
POOLED_ALL_MODELS,correct,AS,QLq,0.1224
POOLED_ALL_MODELS,correct,AS,CL,0.1683
POOLED_ALL_MODELS,correct,MCr,VL,0.3330
POOLED_ALL_MODELS,correct,MCr,AS,0.4722
POOLED_ALL_MODELS,correct,MCr,MCr,1.0000
POOLED_ALL_MODELS,correct,MCr,MCu,0.4098
POOLED_ALL_MODELS,correct,MCr,MA,0.2931
POOLED_ALL_MODELS,correct,MCr,VO,0.3267
POOLED_ALL_MODELS,correct,MCr,AT,0.3958
POOLED_ALL_MODELS,correct,MCr,GS,0.0574
POOLED_ALL_MODELS,correct,MCr,QLl,0.3616
POOLED_ALL_MODELS,correct,MCr,KNf,0.0960
POOLED_ALL_MODELS,correct,MCr,QLq,0.2388
POOLED_ALL_MODELS,correct,MCr,CL,0.1958
POOLED_ALL_MODELS,correct,MCu,VL,0.2172
POOLED_ALL_MODELS,correct,MCu,AS,0.3551
POOLED_ALL_MODELS,correct,MCu,MCr,0.4098
POOLED_ALL_MODELS,correct,MCu,MCu,1.0000
POOLED_ALL_MODELS,correct,MCu,MA,0.2358
POOLED_ALL_MODELS,correct,MCu,VO,0.2660
POOLED_ALL_MODELS,correct,MCu,AT,0.3746
POOLED_ALL_MODELS,correct,MCu,GS,0.1550
POOLED_ALL_MODELS,correct,MCu,QLl,0.2850
POOLED_ALL_MODELS,correct,MCu,KNf,0.1885
POOLED_ALL_MODELS,correct,MCu,QLq,0.2794
POOLED_ALL_MODELS,correct,MCu,CL,0.2345
POOLED_ALL_MODELS,correct,MA,VL,0.3761
POOLED_ALL_MODELS,correct,MA,AS,0.3553
POOLED_ALL_MODELS,correct,MA,MCr,0.2931
POOLED_ALL_MODELS,correct,MA,MCu,0.2358
POOLED_ALL_MODELS,correct,MA,MA,1.0000
POOLED_ALL_MODELS,correct,MA,VO,0.2795
POOLED_ALL_MODELS,correct,MA,AT,0.1909
POOLED_ALL_MODELS,correct,MA,GS,0.0213
POOLED_ALL_MODELS,correct,MA,QLl,0.3046
POOLED_ALL_MODELS,correct,MA,KNf,0.0930
POOLED_ALL_MODELS,correct,MA,QLq,0.2918
POOLED_ALL_MODELS,correct,MA,CL,0.0967
POOLED_ALL_MODELS,correct,VO,VL,0.2617
POOLED_ALL_MODELS,correct,VO,AS,0.2742
POOLED_ALL_MODELS,correct,VO,MCr,0.3267
POOLED_ALL_MODELS,correct,VO,MCu,0.2660
POOLED_ALL_MODELS,correct,VO,MA,0.2795
POOLED_ALL_MODELS,correct,VO,VO,1.0000
POOLED_ALL_MODELS,correct,VO,AT,0.2644
POOLED_ALL_MODELS,correct,VO,GS,0.0260
POOLED_ALL_MODELS,correct,VO,QLl,0.3063
POOLED_ALL_MODELS,correct,VO,KNf,0.0827
POOLED_ALL_MODELS,correct,VO,QLq,0.3188
POOLED_ALL_MODELS,correct,VO,CL,0.1628
POOLED_ALL_MODELS,correct,AT,VL,0.1853
POOLED_ALL_MODELS,correct,AT,AS,0.3504
POOLED_ALL_MODELS,correct,AT,MCr,0.3958
POOLED_ALL_MODELS,correct,AT,MCu,0.3746
POOLED_ALL_MODELS,correct,AT,MA,0.1909
POOLED_ALL_MODELS,correct,AT,VO,0.2644
POOLED_ALL_MODELS,correct,AT,AT,1.0000
POOLED_ALL_MODELS,correct,AT,GS,0.1929
POOLED_ALL_MODELS,correct,AT,QLl,0.2716
POOLED_ALL_MODELS,correct,AT,KNf,0.0868
POOLED_ALL_MODELS,correct,AT,QLq,0.2654
POOLED_ALL_MODELS,correct,AT,CL,0.2407
POOLED_ALL_MODELS,correct,GS,VL,-0.0288
POOLED_ALL_MODELS,correct,GS,AS,0.1493
POOLED_ALL_MODELS,correct,GS,MCr,0.0574
POOLED_ALL_MODELS,correct,GS,MCu,0.1550
POOLED_ALL_MODELS,correct,GS,MA,0.0213
POOLED_ALL_MODELS,correct,GS,VO,0.0260
POOLED_ALL_MODELS,correct,GS,AT,0.1929
POOLED_ALL_MODELS,correct,GS,GS,1.0000
POOLED_ALL_MODELS,correct,GS,QLl,0.0116
POOLED_ALL_MODELS,correct,GS,KNf,0.0350
POOLED_ALL_MODELS,correct,GS,QLq,-0.1313
POOLED_ALL_MODELS,correct,GS,CL,0.3534
POOLED_ALL_MODELS,correct,QLl,VL,0.2309
POOLED_ALL_MODELS,correct,QLl,AS,0.2246
POOLED_ALL_MODELS,correct,QLl,MCr,0.3616
POOLED_ALL_MODELS,correct,QLl,MCu,0.2850
POOLED_ALL_MODELS,correct,QLl,MA,0.3046
POOLED_ALL_MODELS,correct,QLl,VO,0.3063
POOLED_ALL_MODELS,correct,QLl,AT,0.2716
