target,model,feature,importance
acc_kimi_vl_a3b,kimi_vl_a3b,tda_edge_h1_betti_change_count,0.009238764643669128
acc_kimi_vl_a3b,kimi_vl_a3b,tda_gray_h1_p95_persistence,0.009196272119879723
acc_kimi_vl_a3b,kimi_vl_a3b,tda_edge_h0_betti_max,0.008998804725706577
acc_kimi_vl_a3b,kimi_vl_a3b,nlp_claim_svd_09,0.008964168839156628
acc_kimi_vl_a3b,kimi_vl_a3b,nlp_tda_token_h0_max_persistence,0.00884020235389471
acc_kimi_vl_a3b,kimi_vl_a3b,nlp_claim_svd_00,0.00880352407693863
acc_kimi_vl_a3b,kimi_vl_a3b,dim_MCu,0.008682351559400558
acc_kimi_vl_a3b,kimi_vl_a3b,tda_gray_h1_finite_count,0.008580492809414864
acc_kimi_vl_a3b,kimi_vl_a3b,tda_gray_h0_betti_max,0.008564619347453117
acc_kimi_vl_a3b,kimi_vl_a3b,nlp_cue_uncertainty_rate,0.0036604797933250666
acc_kimi_vl_a3b,kimi_vl_a3b,nlp_claim_svd_10,0.0015070835361257195
acc_kimi_vl_a3b,kimi_vl_a3b,dim_MA,0.00025576556799933314
acc_kimi_vl_a3b,kimi_vl_a3b,dim_AS,0.0
acc_kimi_vl_a3b,kimi_vl_a3b,dim_AT,0.0
acc_kimi_vl_a3b,kimi_vl_a3b,dim_MCr,0.0
acc_kimi_vl_a3b,kimi_vl_a3b,dim_QLl,0.0
acc_kimi_vl_a3b,kimi_vl_a3b,dim_QLq,0.0
acc_kimi_vl_a3b,kimi_vl_a3b,dim_VO,0.0
acc_kimi_vl_a3b,kimi_vl_a3b,dim_CL,0.0
acc_kimi_vl_a3b,kimi_vl_a3b,dim_GS,0.0
acc_kimi_vl_a3b,kimi_vl_a3b,dim_KNf,0.0
acc_kimi_vl_a3b,kimi_vl_a3b,dim_VL,0.0
acc_kimi_vl_a3b,kimi_vl_a3b,claim_char_count,0.0
acc_kimi_vl_a3b,kimi_vl_a3b,claim_word_count,0.0
acc_kimi_vl_a3b,kimi_vl_a3b,caption_word_count,0.0
acc_kimi_vl_a3b,kimi_vl_a3b,claim_numeric_token_count,0.0
acc_kimi_vl_a3b,kimi_vl_a3b,caption_numeric_token_count,0.0
acc_kimi_vl_a3b,kimi_vl_a3b,caption_percent_count,0.0
acc_kimi_vl_a3b,kimi_vl_a3b,claim_math_symbol_count,0.0
acc_kimi_vl_a3b,kimi_vl_a3b,caption_math_symbol_count,0.0
acc_kimi_vl_a3b,kimi_vl_a3b,image_width,0.0
acc_kimi_vl_a3b,kimi_vl_a3b,image_aspect_ratio,0.0
acc_kimi_vl_a3b,kimi_vl_a3b,tda_edge_euler_max,0.0
acc_kimi_vl_a3b,kimi_vl_a3b,tda_edge_euler_mean,0.0
acc_kimi_vl_a3b,kimi_vl_a3b,tda_edge_euler_min,0.0
acc_kimi_vl_a3b,kimi_vl_a3b,tda_edge_euler_std,0.0
acc_kimi_vl_a3b,kimi_vl_a3b,tda_edge_h0_betti_area,0.0
acc_kimi_vl_a3b,kimi_vl_a3b,tda_edge_h0_betti_argmax_threshold,0.0
acc_kimi_vl_a3b,kimi_vl_a3b,tda_edge_h0_betti_change_count,0.0
acc_kimi_vl_a3b,kimi_vl_a3b,tda_edge_h0_betti_mean,0.0
acc_kimi_vl_a3b,kimi_vl_a3b,tda_edge_h0_entropy,0.0
acc_kimi_vl_a3b,kimi_vl_a3b,tda_edge_h0_essential_count,0.0
acc_kimi_vl_a3b,kimi_vl_a3b,tda_edge_h0_finite_count,0.0
acc_kimi_vl_a3b,kimi_vl_a3b,tda_edge_h0_interval_count,0.0
acc_kimi_vl_a3b,kimi_vl_a3b,tda_edge_h0_total_persistence,0.0
acc_kimi_vl_a3b,kimi_vl_a3b,tda_edge_h1_betti_area,0.0
acc_kimi_vl_a3b,kimi_vl_a3b,tda_edge_h1_betti_argmax_threshold,0.0
acc_kimi_vl_a3b,kimi_vl_a3b,tda_edge_h1_betti_max,0.0
acc_kimi_vl_a3b,kimi_vl_a3b,tda_edge_h1_betti_mean,0.0
acc_kimi_vl_a3b,kimi_vl_a3b,tda_edge_h1_betti_std,0.0
acc_kimi_vl_a3b,kimi_vl_a3b,tda_edge_h1_entropy,0.0
acc_kimi_vl_a3b,kimi_vl_a3b,tda_edge_h1_essential_count,0.0
acc_kimi_vl_a3b,kimi_vl_a3b,tda_edge_h1_finite_count,0.0
acc_kimi_vl_a3b,kimi_vl_a3b,tda_edge_h1_interval_count,0.0
acc_kimi_vl_a3b,kimi_vl_a3b,tda_edge_h1_std_persistence,0.0
acc_kimi_vl_a3b,kimi_vl_a3b,tda_edge_std,0.0
acc_kimi_vl_a3b,kimi_vl_a3b,tda_gray_euler_max,0.0
acc_kimi_vl_a3b,kimi_vl_a3b,tda_gray_euler_mean,0.0
acc_kimi_vl_a3b,kimi_vl_a3b,tda_gray_euler_std,0.0
acc_kimi_vl_a3b,kimi_vl_a3b,tda_gray_h0_betti_area,0.0
acc_kimi_vl_a3b,kimi_vl_a3b,tda_gray_h0_betti_argmax_threshold,0.0
acc_kimi_vl_a3b,kimi_vl_a3b,tda_gray_h0_betti_change_count,0.0
acc_kimi_vl_a3b,kimi_vl_a3b,tda_gray_h0_betti_std,0.0
acc_kimi_vl_a3b,kimi_vl_a3b,tda_gray_h0_essential_count,0.0
acc_kimi_vl_a3b,kimi_vl_a3b,tda_gray_h0_interval_count,0.0
acc_kimi_vl_a3b,kimi_vl_a3b,tda_gray_h0_p95_persistence,0.0
acc_kimi_vl_a3b,kimi_vl_a3b,tda_gray_h0_std_persistence,0.0
acc_kimi_vl_a3b,kimi_vl_a3b,tda_gray_h1_betti_area,0.0
acc_kimi_vl_a3b,kimi_vl_a3b,tda_gray_h1_betti_argmax_threshold,0.0
acc_kimi_vl_a3b,kimi_vl_a3b,tda_gray_h1_betti_change_count,0.0
acc_kimi_vl_a3b,kimi_vl_a3b,tda_gray_h1_betti_max,0.0
acc_kimi_vl_a3b,kimi_vl_a3b,tda_gray_h1_betti_mean,0.0
acc_kimi_vl_a3b,kimi_vl_a3b,tda_gray_h1_entropy,0.0
acc_kimi_vl_a3b,kimi_vl_a3b,tda_gray_h1_essential_count,0.0
acc_kimi_vl_a3b,kimi_vl_a3b,tda_gray_h1_interval_count,0.0
acc_kimi_vl_a3b,kimi_vl_a3b,tda_gray_mean,0.0
acc_kimi_vl_a3b,kimi_vl_a3b,tda_resized_aspect_ratio,0.0
acc_kimi_vl_a3b,kimi_vl_a3b,tda_resized_height,0.0
acc_kimi_vl_a3b,kimi_vl_a3b,tda_resized_width,0.0
acc_kimi_vl_a3b,kimi_vl_a3b,nlp_claim_token_count,0.0
acc_kimi_vl_a3b,kimi_vl_a3b,nlp_claim_unique_token_count,0.0
acc_kimi_vl_a3b,kimi_vl_a3b,nlp_claim_avg_token_length,0.0
acc_kimi_vl_a3b,kimi_vl_a3b,nlp_claim_number_count,0.0
acc_kimi_vl_a3b,kimi_vl_a3b,nlp_claim_percent_count,0.0
acc_kimi_vl_a3b,kimi_vl_a3b,nlp_claim_math_symbol_count,0.0
acc_kimi_vl_a3b,kimi_vl_a3b,nlp_claim_caption_token_jaccard,0.0
acc_kimi_vl_a3b,kimi_vl_a3b,nlp_claim_caption_numeric_overlap_count,0.0
acc_kimi_vl_a3b,kimi_vl_a3b,nlp_claim_caption_percent_overlap_count,0.0
acc_kimi_vl_a3b,kimi_vl_a3b,nlp_cue_comparison_count,0.0
acc_kimi_vl_a3b,kimi_vl_a3b,nlp_cue_superlative_count,0.0
acc_kimi_vl_a3b,kimi_vl_a3b,nlp_cue_superlative_rate,0.0
acc_kimi_vl_a3b,kimi_vl_a3b,nlp_cue_negation_count,0.0
acc_kimi_vl_a3b,kimi_vl_a3b,nlp_cue_negation_rate,0.0
acc_kimi_vl_a3b,kimi_vl_a3b,nlp_cue_uncertainty_count,0.0
acc_kimi_vl_a3b,kimi_vl_a3b,nlp_cue_trend_count,0.0
acc_kimi_vl_a3b,kimi_vl_a3b,nlp_cue_trend_rate,0.0
acc_kimi_vl_a3b,kimi_vl_a3b,nlp_cue_temporal_count,0.0
acc_kimi_vl_a3b,kimi_vl_a3b,nlp_cue_arithmetic_count,0.0
acc_kimi_vl_a3b,kimi_vl_a3b,nlp_claim_svd_07,0.0
acc_kimi_vl_a3b,kimi_vl_a3b,nlp_claim_svd_13,0.0
acc_kimi_vl_a3b,kimi_vl_a3b,nlp_claim_svd_14,0.0
acc_kimi_vl_a3b,kimi_vl_a3b,nlp_claim_svd_17,0.0
acc_kimi_vl_a3b,kimi_vl_a3b,nlp_claim_svd_18,0.0
acc_kimi_vl_a3b,kimi_vl_a3b,nlp_claim_svd_20,0.0
acc_kimi_vl_a3b,kimi_vl_a3b,nlp_tda_token_point_count,0.0
acc_kimi_vl_a3b,kimi_vl_a3b,nlp_tda_token_distance_max,0.0
acc_kimi_vl_a3b,kimi_vl_a3b,nlp_tda_token_distance_p90,0.0
acc_kimi_vl_a3b,kimi_vl_a3b,nlp_tda_token_h0_finite_count,0.0
acc_kimi_vl_a3b,kimi_vl_a3b,nlp_tda_token_h0_essential_count,0.0
acc_kimi_vl_a3b,kimi_vl_a3b,nlp_tda_token_h1_interval_count,0.0
acc_kimi_vl_a3b,kimi_vl_a3b,nlp_tda_token_h1_finite_count,0.0
acc_kimi_vl_a3b,kimi_vl_a3b,nlp_tda_token_h1_essential_count,0.0
acc_kimi_vl_a3b,kimi_vl_a3b,nlp_tda_token_h1_max_persistence,0.0
acc_kimi_vl_a3b,kimi_vl_a3b,nlp_tda_token_h1_std_persistence,0.0
acc_kimi_vl_a3b,kimi_vl_a3b,nlp_tda_token_h1_p90_persistence,0.0
acc_kimi_vl_a3b,kimi_vl_a3b,nlp_tda_token_h1_p95_persistence,0.0
acc_kimi_vl_a3b,kimi_vl_a3b,nlp_tda_token_h1_entropy,0.0
acc_kimi_vl_a3b,kimi_vl_a3b,claim_type_analytical,0.0
acc_kimi_vl_a3b,kimi_vl_a3b,claim_type_direct,0.0
acc_kimi_vl_a3b,kimi_vl_a3b,evidence_kind_single_chart,0.0
acc_kimi_vl_a3b,kimi_vl_a3b,vtype_chart,0.0
acc_pixtral12b,pixtral12b,nlp_tda_token_h1_p95_persistence,0.02521335333585739
acc_pixtral12b,pixtral12b,nlp_claim_svd_19,0.024341357871890068
acc_pixtral12b,pixtral12b,nlp_tda_token_distance_p90,0.02065490372478962
acc_pixtral12b,pixtral12b,nlp_tda_token_distance_mean,0.020134931430220604
acc_pixtral12b,pixtral12b,nlp_claim_svd_12,0.020029759034514427
acc_pixtral12b,pixtral12b,tda_gray_h0_betti_max,0.019725169986486435
acc_pixtral12b,pixtral12b,nlp_tda_token_h1_total_persistence,0.019361397251486778
acc_pixtral12b,pixtral12b,tda_gray_h1_max_persistence,0.018623098731040955
acc_pixtral12b,pixtral12b,nlp_claim_svd_23,0.018279729411005974
acc_pixtral12b,pixtral12b,nlp_claim_svd_17,0.018144579604268074
acc_pixtral12b,pixtral12b,image_height,0.01794622652232647
acc_pixtral12b,pixtral12b,tda_gray_std,0.01790240779519081
acc_pixtral12b,pixtral12b,nlp_cue_comparison_count,0.017835719510912895
acc_pixtral12b,pixtral12b,tda_gray_h1_betti_change_count,0.017773492261767387
acc_pixtral12b,pixtral12b,image_width,0.017544109374284744
acc_pixtral12b,pixtral12b,nlp_claim_caption_tfidf_cosine,0.017537180334329605
acc_pixtral12b,pixtral12b,tda_gray_euler_std,0.01728028990328312
acc_pixtral12b,pixtral12b,image_aspect_ratio,0.01724495179951191
acc_pixtral12b,pixtral12b,tda_gray_h1_betti_std,0.01723061501979828
acc_pixtral12b,pixtral12b,tda_edge_h1_betti_max,0.017161507159471512
acc_pixtral12b,pixtral12b,dim_MCu,0.017159810289740562
acc_pixtral12b,pixtral12b,nlp_cue_temporal_rate,0.016622597351670265
acc_pixtral12b,pixtral12b,nlp_tda_token_h0_mean_persistence,0.016550496220588684
acc_pixtral12b,pixtral12b,tda_edge_h0_entropy,0.016540702432394028
acc_pixtral12b,pixtral12b,claim_char_count,0.016379332169890404
acc_pixtral12b,pixtral12b,nlp_tda_token_distance_std,0.016253076493740082
acc_pixtral12b,pixtral12b,tda_edge_h1_betti_std,0.016226477921009064
acc_pixtral12b,pixtral12b,nlp_claim_svd_20,0.01614232361316681
acc_pixtral12b,pixtral12b,context_char_count,0.01598205417394638
acc_pixtral12b,pixtral12b,nlp_tda_token_h0_max_persistence,0.01586606167256832
acc_pixtral12b,pixtral12b,nlp_cue_temporal_count,0.015514442697167397
acc_pixtral12b,pixtral12b,nlp_claim_svd_07,0.0154587896540761
acc_pixtral12b,pixtral12b,tda_gray_euler_min,0.015344684012234211
acc_pixtral12b,pixtral12b,tda_gray_mean,0.015220203436911106
acc_pixtral12b,pixtral12b,tda_edge_h1_mean_persistence,0.015042619779706001
acc_pixtral12b,pixtral12b,nlp_claim_svd_15,0.015001647174358368
acc_pixtral12b,pixtral12b,nlp_claim_caption_content_jaccard,0.014882420189678669
acc_pixtral12b,pixtral12b,tda_resized_aspect_ratio,0.01462777890264988
acc_pixtral12b,pixtral12b,tda_gray_h0_p95_persistence,0.014205258339643478
acc_pixtral12b,pixtral12b,nlp_claim_svd_04,0.014178596436977386
acc_pixtral12b,pixtral12b,nlp_cue_comparison_rate,0.013957692310214043
acc_pixtral12b,pixtral12b,nlp_claim_svd_18,0.013838367536664009
acc_pixtral12b,pixtral12b,nlp_claim_caption_token_jaccard,0.013381133787333965
acc_pixtral12b,pixtral12b,tda_edge_h0_mean_persistence,0.013358999975025654
acc_pixtral12b,pixtral12b,dim_KNf,0.012968691997230053
acc_pixtral12b,pixtral12b,nlp_claim_svd_01,0.012825330719351768
acc_pixtral12b,pixtral12b,tda_gray_h0_mean_persistence,0.012809427455067635
acc_pixtral12b,pixtral12b,nlp_claim_svd_11,0.012703117914497852
acc_pixtral12b,pixtral12b,nlp_tda_token_h0_total_persistence,0.01212379988282919
acc_pixtral12b,pixtral12b,tda_edge_h1_betti_change_count,0.011957688257098198
acc_pixtral12b,pixtral12b,nlp_tda_token_distance_max,0.011855884455144405
acc_pixtral12b,pixtral12b,caption_math_symbol_count,0.011191596277058125
acc_pixtral12b,pixtral12b,nlp_cue_uncertainty_count,0.010233582928776741
acc_pixtral12b,pixtral12b,tda_gray_h0_betti_std,0.010208201594650745
acc_pixtral12b,pixtral12b,tda_gray_h1_p90_persistence,0.009968658909201622
acc_pixtral12b,pixtral12b,dim_QLq,0.009897925890982151
acc_pixtral12b,pixtral12b,nlp_tda_token_h1_max_persistence,0.00953474547713995
acc_pixtral12b,pixtral12b,nlp_claim_svd_02,0.009366181679069996
acc_pixtral12b,pixtral12b,nlp_claim_svd_13,0.009082176722586155
acc_pixtral12b,pixtral12b,tda_edge_h0_p95_persistence,0.008945929817855358
acc_pixtral12b,pixtral12b,nlp_claim_svd_16,0.008843133226037025
acc_pixtral12b,pixtral12b,nlp_tda_token_h0_p90_persistence,0.008783979341387749
