model,dim,dim_name,emergent,perm_imp_mean,perm_imp_std
Gemini-1-5-Pro,AS,Attention and Scan,no,0.0000,0.0120
Gemini-1-5-Pro,VO,Volume,no,-0.0015,0.0072
Gemini-1-5-Pro,CL,"Conceptualisation, Learning, and Abstraction",no,-0.0016,0.0060
Gemini-1-5-Pro,KNf,Formal Sciences,no,-0.0050,0.0092
InternVL2-Pro,MCu,Calibrating Knowns and Unknowns,no,0.0283,0.0254
InternVL2-Pro,GS,Gestalt and Shape Judgment,yes,0.0125,0.0085
InternVL2-Pro,MCr,Identifying Relevant Information,no,0.0078,0.0179
InternVL2-Pro,AT,Atypicality,no,0.0076,0.0138
InternVL2-Pro,MA,Multi-Element Visual Aggregation,yes,0.0072,0.0091
InternVL2-Pro,VO,Volume,no,0.0050,0.0078
InternVL2-Pro,AS,Attention and Scan,no,0.0045,0.0098
InternVL2-Pro,QLq,Quantitative Reasoning,no,0.0021,0.0089
InternVL2-Pro,VL,Visual Localization and Grounding,yes,-0.0010,0.0091
InternVL2-Pro,CL,"Conceptualisation, Learning, and Abstraction",no,-0.0040,0.0058
InternVL2-Pro,KNf,Formal Sciences,no,-0.0066,0.0091
InternVL2-Pro,QLl,Logical Reasoning,no,-0.0092,0.0062
InternVL2-76B,MCu,Calibrating Knowns and Unknowns,no,0.0418,0.0278
InternVL2-76B,GS,Gestalt and Shape Judgment,yes,0.0237,0.0189
InternVL2-76B,VO,Volume,no,0.0097,0.0130
InternVL2-76B,QLq,Quantitative Reasoning,no,0.0093,0.0096
InternVL2-76B,MA,Multi-Element Visual Aggregation,yes,0.0062,0.0122
InternVL2-76B,QLl,Logical Reasoning,no,0.0046,0.0089
InternVL2-76B,AS,Attention and Scan,no,0.0043,0.0128
InternVL2-76B,AT,Atypicality,no,-0.0020,0.0097
InternVL2-76B,MCr,Identifying Relevant Information,no,-0.0029,0.0133
InternVL2-76B,KNf,Formal Sciences,no,-0.0032,0.0056
InternVL2-76B,CL,"Conceptualisation, Learning, and Abstraction",no,-0.0040,0.0059
InternVL2-76B,VL,Visual Localization and Grounding,yes,-0.0091,0.0096
GPT-4V-Turbo,MCr,Identifying Relevant Information,no,0.0287,0.0215
GPT-4V-Turbo,QLq,Quantitative Reasoning,no,0.0275,0.0134
GPT-4V-Turbo,QLl,Logical Reasoning,no,0.0123,0.0127
GPT-4V-Turbo,CL,"Conceptualisation, Learning, and Abstraction",no,0.0110,0.0152
GPT-4V-Turbo,GS,Gestalt and Shape Judgment,yes,0.0107,0.0104
GPT-4V-Turbo,AS,Attention and Scan,no,0.0090,0.0152
GPT-4V-Turbo,KNf,Formal Sciences,no,0.0012,0.0081
