model,dim,dim_name,emergent,perm_imp_mean,perm_imp_std
InternLM-XComposer2,AS,Attention and Scan,no,0.0220,0.0280
InternLM-XComposer2,MCr,Identifying Relevant Information,no,0.0198,0.0290
InternLM-XComposer2,MA,Multi-Element Visual Aggregation,yes,0.0090,0.0235
InternLM-XComposer2,QLl,Logical Reasoning,no,0.0058,0.0139
InternLM-XComposer2,GS,Gestalt and Shape Judgment,yes,0.0013,0.0191
InternLM-XComposer2,CL,"Conceptualisation, Learning, and Abstraction",no,-0.0004,0.0107
InternLM-XComposer2,VL,Visual Localization and Grounding,yes,-0.0029,0.0141
InternLM-XComposer2,VO,Volume,no,-0.0056,0.0172
InternLM-XComposer2,KNf,Formal Sciences,no,-0.0116,0.0320
InternLM-XComposer2,QLq,Quantitative Reasoning,no,-0.0119,0.0115
InternLM-XComposer2,MCu,Calibrating Knowns and Unknowns,no,-0.0124,0.0134
Mini-Gemini-HD-LLaMA3-8B,MCu,Calibrating Knowns and Unknowns,no,0.0368,0.0293
Mini-Gemini-HD-LLaMA3-8B,MA,Multi-Element Visual Aggregation,yes,0.0354,0.0234
