model,spearman_rho,kendall_tau,perm_top1,shap_top1,top1_match,top3_overlap,perm_top3,shap_top3
COMBINATION_ALL,0.8531,0.6970,GS,GS,yes,2,GS MA AS,GS MA MCu
Human,0.6434,0.4848,MCr,MCr,yes,2,MCr VL KNf,MCr KNf MA
Claude-3-5-Sonnet,0.9161,0.7576,MCu,MCu,yes,3,MCu AS MA,MCu AS MA
GPT-4o,0.6923,0.5455,MCu,MCu,yes,2,MCu MCr GS,MCu AS MCr
Gemini-1-5-Pro,0.5455,0.4242,MA,AS,no,2,MA MCu GS,AS MCu GS
InternVL2-Pro,0.9002,0.7481,MCu,MCu,yes,3,MCu GS MCr,MCu MCr GS
InternVL2-76B,0.6923,0.5152,MCu,MCu,yes,2,MCu GS VO,MCu GS AS
GPT-4V-Turbo,0.7273,0.5758,MCr,MCr,yes,2,MCr QLq QLl,MCr GS QLq
InternVL2-26B,0.7133,0.5758,MCu,MCu,yes,2,MCu VO GS,MCu GS MA
GPT-4o-mini,0.5114,0.3817,AS,AS,yes,2,AS CL VL,AS AT VL
Claude-3-Sonnet,0.8161,0.6565,GS,GS,yes,2,GS AS MCr,GS AS VL
Claude-3-Haiku,0.5734,0.4242,GS,GS,yes,3,GS VL MCu,GS VL MCu
Claude-3-Opus,0.8406,0.7481,VL,VL,yes,3,VL GS QLq,VL QLq GS
Phi-3-Vision,0.6503,0.5152,MCu,VL,no,3,MCu VL MCr,VL MCu MCr
InternVL-Chat-V1-5,0.5734,0.3939,MCu,MCu,yes,2,MCu GS VO,MCu GS AT
Reka-Core,0.8112,0.6364,VL,VL,yes,2,VL MA QLl,VL GS MA
Ovis1.5-Llama3-8B,0.6084,0.3939,AT,VL,no,1,AT QLq VO,VL AT MA
Ovis1.5-Gemma2-9B,0.5804,0.3939,GS,MCu,no,2,GS MCu AT,MCu GS MA
Cambrian-34B,0.6503,0.5455,GS,GS,yes,3,GS MA VL,GS VL MA
Reka-Flash,0.8169,0.6668,MA,MA,yes,2,MA VL AS,MA VL GS
Qwen-VL-Max,0.6364,0.5152,MCu,MCu,yes,2,MCu MA VO,MCu MA VL
InternLM-XComposer2-4KHD,0.8112,0.5758,MA,MA,yes,2,MA VO AS,MA MCu AS
MiniCPM-V2-5,0.9142,0.7786,VL,AS,no,3,VL AS MA,AS MA VL
Mini-Gemini-HD-Yi-34B,0.6713,0.5152,MA,GS,no,3,MA GS VL,GS MA VL
VILA-1-5-40B,0.6993,0.5152,VL,VL,yes,2,VL GS AS,VL GS MCr
Reka-Edge,0.5175,0.4242,MCu,GS,no,1,MCu GS AT,GS MA AS
Gemini-1.0-Pro-Vision,0.3503,0.2901,MCu,GS,no,2,MCu MCr VO,GS MCu MCr
LLaVA-1-6-Yi-34B,0.7566,0.6260,GS,GS,yes,3,GS AS MCu,GS AS MCu
MoAI,0.7846,0.6565,GS,GS,yes,2,GS AT MCr,GS MCr MA
IDEFICS-2,0.6853,0.5758,GS,VL,no,2,GS VL AT,VL GS KNf
InternLM-XComposer2,0.6923,0.5455,AT,AT,yes,2,AT AS MCr,AT AS MA
Mini-Gemini-HD-LLaMA3-8B,0.8531,0.6970,MCu,MCu,yes,3,MCu MA VL,MCu VL MA
MiniCPM-V2,0.6783,0.5152,MA,GS,no,2,MA MCu AS,GS MA MCu
DeepSeek-VL,0.7063,0.5152,CL,MA,no,2,CL MCr MCu,MA CL MCr
IDEFICS-2-Chatty,0.5734,0.4242,GS,MA,no,2,GS MA KNf,MA GS MCr
SPHINX-V2-13B,0.6573,0.5455,MA,MA,yes,2,MA KNf VO,MA KNf MCr
Qwen-VL-Plus,0.2517,0.1212,MA,GS,no,2,MA GS KNf,GS MA MCu
LLaVA-1-6-Mistral-7B,0.5315,0.3939,GS,GS,yes,2,GS AS CL,GS AS MA
ChartGemma,0.2448,0.1515,MA,MA,yes,2,MA CL VL,MA VL GS
GPT-4o-Random,0.7552,0.6364,GS,GS,yes,2,GS MA QLq,GS MA MCr
