replicate,rows,unique_groups,top1_hit_rate,mean_regret,median_regret
1,123,55,0.4796747967479675,0.2764227642276423,0.2
2,114,59,0.47368421052631576,0.2807017543859649,0.2
3,120,56,0.475,0.26333333333333336,0.2
4,128,56,0.46875,0.271875,0.2
5,116,54,0.5086206896551724,0.2724137931034483,0.0
6,116,54,0.5086206896551724,0.24310344827586206,0.0
7,122,54,0.45901639344262296,0.24098360655737708,0.2
8,116,59,0.5172413793103449,0.253448275862069,0.0
9,111,58,0.3783783783783784,0.3261261261261261,0.2
10,114,65,0.4824561403508772,0.2543859649122807,0.2
11,122,51,0.5,0.26557377049180325,0.1
12,123,54,0.4715447154471545,0.2926829268292682,0.2
13,108,55,0.5462962962962963,0.24259259259259267,0.0
14,114,55,0.5,0.25087719298245614,0.1
15,116,56,0.46551724137931033,0.2879310344827587,0.2
16,120,54,0.4666666666666667,0.2933333333333333,0.2
17,122,62,0.4672131147540984,0.26393442622950825,0.2
18,126,56,0.46825396825396826,0.2793650793650794,0.2
19,117,55,0.5299145299145299,0.24444444444444446,0.0
20,125,60,0.464,0.2736,0.2
21,125,50,0.512,0.2304,0.0
22,125,60,0.552,0.22399999999999998,0.0
23,126,58,0.4365079365079365,0.2857142857142857,0.2
24,116,56,0.5603448275862069,0.22068965517241382,0.0
25,120,53,0.425,0.3033333333333334,0.2
26,129,57,0.5503875968992248,0.24186046511627907,0.0
27,125,55,0.448,0.2768,0.2
28,112,54,0.5,0.22857142857142856,0.1
29,123,55,0.4146341463414634,0.2894308943089431,0.2
30,123,59,0.4634146341463415,0.2845528455284553,0.2
31,123,59,0.4796747967479675,0.2601626016260163,0.2
32,119,58,0.4789915966386555,0.30756302521008405,0.2
33,120,56,0.48333333333333334,0.29333333333333333,0.2
34,122,61,0.4672131147540984,0.2754098360655738,0.2
35,123,56,0.44715447154471544,0.2747967479674797,0.2
36,112,57,0.4732142857142857,0.2767857142857143,0.2
37,115,59,0.5043478260869565,0.25043478260869567,0.0
38,113,57,0.5221238938053098,0.2424778761061947,0.0
39,118,58,0.4745762711864407,0.28305084745762715,0.2
40,119,59,0.4789915966386555,0.2672268907563025,0.2
41,120,52,0.44166666666666665,0.2816666666666667,0.2
42,116,61,0.4827586206896552,0.2844827586206896,0.2
43,121,53,0.49586776859504134,0.2760330578512397,0.2
44,126,53,0.373015873015873,0.30952380952380953,0.2
45,121,59,0.4628099173553719,0.25785123966942153,0.2
46,119,61,0.4957983193277311,0.23865546218487396,0.2
47,116,60,0.43103448275862066,0.26379310344827583,0.2
48,118,58,0.4322033898305085,0.3338983050847458,0.2
49,120,53,0.4166666666666667,0.30833333333333335,0.2
50,121,54,0.4297520661157025,0.28760330578512394,0.2
51,121,55,0.4297520661157025,0.27933884297520667,0.2
52,128,55,0.5234375,0.2515625,0.0
53,115,56,0.5217391304347826,0.23826086956521741,0.0
54,121,58,0.4462809917355372,0.31735537190082647,0.2
55,120,65,0.49166666666666664,0.25333333333333335,0.2
56,116,56,0.4396551724137931,0.3017241379310345,0.2
57,121,55,0.49586776859504134,0.2479338842975207,0.2
58,123,65,0.4715447154471545,0.24065040650406505,0.2
59,119,59,0.46218487394957986,0.2722689075630252,0.2
60,121,59,0.4297520661157025,0.27933884297520667,0.2
