target,model,label,roc_auc,bal_acc,f1,fit_predict_s
GPT-4o,tabpfn,"TabPFN (pretrained, untuned)",0.6238,0.5703,0.6,22.5
GPT-4o,logistic_regularized,logistic_regularized (nb17 tuned),0.6093,0.5703,0.6,0.0
GPT-4o,random_forest,random_forest (nb17 tuned),0.613,0.5441,0.5814,0.3
GPT-4o,hist_gb,hist_gb (nb17 tuned),0.6341,0.5788,0.5939,0.1
GPT-4o,xgboost,xgboost (nb17 tuned),0.6335,0.6032,0.6228,0.1
GPT-4o,logistic,logistic (default baseline),0.6103,0.577,0.6036,0.0
Claude-3-5-Sonnet,tabpfn,"TabPFN (pretrained, untuned)",0.6136,0.5719,0.3711,21.5
Claude-3-5-Sonnet,logistic_regularized,logistic_regularized (nb17 tuned),0.6018,0.5976,0.4124,0.0
Claude-3-5-Sonnet,random_forest,random_forest (nb17 tuned),0.6004,0.5003,0.25,0.3
Claude-3-5-Sonnet,hist_gb,hist_gb (nb17 tuned),0.5669,0.552,0.4274,0.1
Claude-3-5-Sonnet,xgboost,xgboost (nb17 tuned),0.5847,0.5206,0.3269,0.0
Claude-3-5-Sonnet,logistic,logistic (default baseline),0.5984,0.594,0.42,0.0
GPT-4o-Random,tabpfn,"TabPFN (pretrained, untuned)",0.5835,0.5,0.947,21.5
GPT-4o-Random,random_forest,random_forest (default),0.5721,0.5,0.947,0.4
GPT-4o-Random,logistic,logistic (default baseline),0.5035,0.5,0.947,0.0
