sample_idx,target,family,roc_auc,roc_auc_sd,bal_acc,f1,modal_best_params,seed
0,GPT-4o,logistic_regularized,0.6166,0.0524,0.5831,0.5913,"{'clf__C': 0.1, 'clf__penalty': 'l2'}",20260618
0,GPT-4o,random_forest,0.6246,0.0469,0.5895,0.5997,"{'clf__max_depth': 8, 'clf__min_samples_leaf': 5}",20260618
0,GPT-4o,hist_gb,0.6055,0.0498,0.572,0.5843,"{'clf__l2_regularization': 1.0, 'clf__learning_rate': 0.05, 'clf__max_leaf_nodes': 15}",20260618
0,GPT-4o,xgboost,0.6059,0.051,0.5737,0.5865,"{'clf__learning_rate': 0.1, 'clf__max_depth': 4, 'clf__n_estimators': 300, 'clf__reg_lambda': 1.0, 'clf__subsample': 0.8}",20260618
0,Claude-3-5-Sonnet,logistic_regularized,0.6228,0.0564,0.5439,0.2895,"{'clf__C': 0.1, 'clf__penalty': 'l1'}",20260618
0,Claude-3-5-Sonnet,random_forest,0.6102,0.0558,0.5198,0.1696,"{'clf__max_depth': 2, 'clf__min_samples_leaf': 50}",20260618
0,Claude-3-5-Sonnet,hist_gb,0.6084,0.0543,0.5847,0.448,"{'clf__l2_regularization': 0.0, 'clf__learning_rate': 0.05, 'clf__max_leaf_nodes': 15}",20260618
0,Claude-3-5-Sonnet,xgboost,0.6144,0.0597,0.5877,0.4297,"{'clf__learning_rate': 0.05, 'clf__max_depth': 2, 'clf__n_estimators': 300, 'clf__reg_lambda': 1.0, 'clf__subsample': 0.8}",20260618
1,GPT-4o,logistic_regularized,0.6681,0.0329,0.6323,0.6562,"{'clf__C': 0.1, 'clf__penalty': 'l2'}",20260619
1,GPT-4o,random_forest,0.6588,0.0488,0.6241,0.6727,"{'clf__max_depth': 4, 'clf__min_samples_leaf': 50}",20260619
1,GPT-4o,hist_gb,0.6315,0.0578,0.6106,0.638,"{'clf__l2_regularization': 1.0, 'clf__learning_rate': 0.05, 'clf__max_leaf_nodes': 15}",20260619
1,GPT-4o,xgboost,0.6408,0.0523,0.6113,0.6401,"{'clf__learning_rate': 0.05, 'clf__max_depth': 2, 'clf__n_estimators': 300, 'clf__reg_lambda': 1.0, 'clf__subsample': 0.8}",20260619
1,Claude-3-5-Sonnet,logistic_regularized,0.6236,0.0429,0.5774,0.4576,"{'clf__C': 0.1, 'clf__penalty': 'l2'}",20260619
1,Claude-3-5-Sonnet,random_forest,0.6112,0.0415,0.5432,0.3203,"{'clf__max_depth': 4, 'clf__min_samples_leaf': 50}",20260619
1,Claude-3-5-Sonnet,hist_gb,0.5503,0.0376,0.5479,0.4278,"{'clf__l2_regularization': 0.0, 'clf__learning_rate': 0.05, 'clf__max_leaf_nodes': 15}",20260619
1,Claude-3-5-Sonnet,xgboost,0.5715,0.0419,0.5603,0.4356,"{'clf__learning_rate': 0.05, 'clf__max_depth': 2, 'clf__n_estimators': 300, 'clf__reg_lambda': 1.0, 'clf__subsample': 0.8}",20260619
2,GPT-4o,logistic_regularized,0.672,0.0435,0.6289,0.6192,"{'clf__C': 0.1, 'clf__l1_ratio': 0.5, 'clf__penalty': 'elasticnet'}",20260620
2,GPT-4o,random_forest,0.6659,0.0394,0.6146,0.6218,"{'clf__max_depth': 4, 'clf__min_samples_leaf': 5}",20260620
2,GPT-4o,hist_gb,0.6497,0.0562,0.5892,0.5806,"{'clf__l2_regularization': 1.0, 'clf__learning_rate': 0.05, 'clf__max_leaf_nodes': 15}",20260620
2,GPT-4o,xgboost,0.6758,0.0519,0.6159,0.6187,"{'clf__learning_rate': 0.05, 'clf__max_depth': 2, 'clf__n_estimators': 300, 'clf__reg_lambda': 1.0, 'clf__subsample': 0.8}",20260620
2,Claude-3-5-Sonnet,logistic_regularized,0.6048,0.069,0.5361,0.2692,"{'clf__C': 0.1, 'clf__penalty': 'l1'}",20260620
2,Claude-3-5-Sonnet,random_forest,0.6308,0.0435,0.5102,0.1642,"{'clf__max_depth': 2, 'clf__min_samples_leaf': 20}",20260620
2,Claude-3-5-Sonnet,hist_gb,0.6009,0.0596,0.5513,0.4106,"{'clf__l2_regularization': 1.0, 'clf__learning_rate': 0.05, 'clf__max_leaf_nodes': 31}",20260620
2,Claude-3-5-Sonnet,xgboost,0.5827,0.0415,0.5464,0.3973,"{'clf__learning_rate': 0.05, 'clf__max_depth': 2, 'clf__n_estimators': 300, 'clf__reg_lambda': 1.0, 'clf__subsample': 0.8}",20260620
3,GPT-4o,logistic_regularized,0.6642,0.0575,0.6312,0.6452,"{'clf__C': 0.1, 'clf__penalty': 'l2'}",20260621
3,GPT-4o,random_forest,0.6739,0.0561,0.6304,0.6661,"{'clf__max_depth': 2, 'clf__min_samples_leaf': 50}",20260621
3,GPT-4o,hist_gb,0.6482,0.0449,0.6138,0.6171,"{'clf__l2_regularization': 1.0, 'clf__learning_rate': 0.05, 'clf__max_leaf_nodes': 15}",20260621
3,GPT-4o,xgboost,0.6687,0.0453,0.6297,0.64,"{'clf__learning_rate': 0.05, 'clf__max_depth': 2, 'clf__n_estimators': 300, 'clf__reg_lambda': 1.0, 'clf__subsample': 0.8}",20260621
3,Claude-3-5-Sonnet,logistic_regularized,0.5935,0.0439,0.5364,0.2757,"{'clf__C': 0.1, 'clf__penalty': 'l2'}",20260621
3,Claude-3-5-Sonnet,random_forest,0.5863,0.0323,0.5141,0.0627,"{'clf__max_depth': 4, 'clf__min_samples_leaf': 50}",20260621
3,Claude-3-5-Sonnet,hist_gb,0.5604,0.0509,0.5499,0.385,"{'clf__l2_regularization': 0.0, 'clf__learning_rate': 0.05, 'clf__max_leaf_nodes': 15}",20260621
3,Claude-3-5-Sonnet,xgboost,0.5514,0.0357,0.5429,0.3422,"{'clf__learning_rate': 0.05, 'clf__max_depth': 2, 'clf__n_estimators': 300, 'clf__reg_lambda': 1.0, 'clf__subsample': 0.8}",20260621
4,GPT-4o,logistic_regularized,0.6603,0.0464,0.628,0.6446,"{'clf__C': 0.1, 'clf__penalty': 'l2'}",20260622
